price,asOfDate,currencyCode,__typename
6.1413,2024-10-11,USD,FundPrice
6.1074,2024-10-10,USD,FundPrice
6.1114,2024-10-09,USD,FundPrice
6.0825,2024-10-08,USD,FundPrice
6.0624,2024-10-07,USD,FundPrice
6.0916,2024-10-04,USD,FundPrice
6.0536,2024-10-03,USD,FundPrice
6.0796,2024-10-02,USD,FundPrice
6.0865,2024-10-01,USD,FundPrice
6.1412,2024-09-30,USD,FundPrice
6.1473,2024-09-27,USD,FundPrice
6.133,2024-09-26,USD,FundPrice
6.077,2024-09-25,USD,FundPrice
6.0847,2024-09-24,USD,FundPrice
6.0553,2024-09-23,USD,FundPrice
6.0421,2024-09-20,USD,FundPrice
6.0627,2024-09-19,USD,FundPrice
5.9625,2024-09-18,USD,FundPrice
5.9789,2024-09-17,USD,FundPrice
5.9777,2024-09-16,USD,FundPrice
5.9693,2024-09-13,USD,FundPrice
5.9275,2024-09-12,USD,FundPrice
5.8855,2024-09-11,USD,FundPrice
5.843,2024-09-10,USD,FundPrice
5.8293,2024-09-09,USD,FundPrice
5.7981,2024-09-06,USD,FundPrice
5.8706,2024-09-05,USD,FundPrice
5.8824,2024-09-04,USD,FundPrice
5.9148,2024-09-03,USD,FundPrice
6.0125,2024-09-02,USD,FundPrice
6.0173,2024-08-30,USD,FundPrice
5.9696,2024-08-29,USD,FundPrice
5.9735,2024-08-28,USD,FundPrice
6.0011,2024-08-27,USD,FundPrice
5.9956,2024-08-26,USD,FundPrice
6.0121,2024-08-23,USD,FundPrice
5.9448,2024-08-22,USD,FundPrice
5.9842,2024-08-21,USD,FundPrice
5.962,2024-08-20,USD,FundPrice
5.9604,2024-08-19,USD,FundPrice
5.9027,2024-08-16,USD,FundPrice
5.8662,2024-08-15,USD,FundPrice
5.7935,2024-08-14,USD,FundPrice
5.7611,2024-08-13,USD,FundPrice
5.6692,2024-08-12,USD,FundPrice
5.6722,2024-08-09,USD,FundPrice
5.6298,2024-08-08,USD,FundPrice
5.5464,2024-08-07,USD,FundPrice
5.5558,2024-08-06,USD,FundPrice
5.486,2024-08-05,USD,FundPrice
5.6774,2024-08-02,USD,FundPrice
5.7993,2024-08-01,USD,FundPrice
5.8793,2024-07-31,USD,FundPrice
5.7861,2024-07-30,USD,FundPrice
5.8097,2024-07-29,USD,FundPrice
5.8004,2024-07-26,USD,FundPrice
5.7529,2024-07-25,USD,FundPrice
5.7981,2024-07-24,USD,FundPrice
5.9062,2024-07-23,USD,FundPrice
5.9046,2024-07-22,USD,FundPrice
5.8578,2024-07-19,USD,FundPrice
5.9029,2024-07-18,USD,FundPrice
5.954,2024-07-17,USD,FundPrice
6.0184,2024-07-16,USD,FundPrice
5.9943,2024-07-15,USD,FundPrice
5.9883,2024-07-12,USD,FundPrice
5.9563,2024-07-11,USD,FundPrice
5.9589,2024-07-10,USD,FundPrice
5.9076,2024-07-09,USD,FundPrice
5.9073,2024-07-08,USD,FundPrice
5.8993,2024-07-05,USD,FundPrice
5.8761,2024-07-04,USD,FundPrice
5.8597,2024-07-03,USD,FundPrice
5.8182,2024-07-02,USD,FundPrice
5.7969,2024-07-01,USD,FundPrice
5.7851,2024-06-28,USD,FundPrice
5.7964,2024-06-27,USD,FundPrice
5.7927,2024-06-26,USD,FundPrice
5.7888,2024-06-25,USD,FundPrice
5.7678,2024-06-24,USD,FundPrice
5.7757,2024-06-21,USD,FundPrice
5.7931,2024-06-20,USD,FundPrice
5.8055,2024-06-19,USD,FundPrice
5.7973,2024-06-18,USD,FundPrice
5.7735,2024-06-17,USD,FundPrice
5.7494,2024-06-14,USD,FundPrice
5.7624,2024-06-13,USD,FundPrice
5.8021,2024-06-12,USD,FundPrice
5.7375,2024-06-11,USD,FundPrice
5.7395,2024-06-10,USD,FundPrice
5.7369,2024-06-07,USD,FundPrice
5.7531,2024-06-06,USD,FundPrice
5.738,2024-06-05,USD,FundPrice
5.6823,2024-06-04,USD,FundPrice
5.6869,2024-06-03,USD,FundPrice
5.6572,2024-05-31,USD,FundPrice
5.6292,2024-05-30,USD,FundPrice
5.6539,2024-05-29,USD,FundPrice
5.7102,2024-05-28,USD,FundPrice
5.715,2024-05-27,USD,FundPrice
5.7023,2024-05-24,USD,FundPrice
5.6814,2024-05-23,USD,FundPrice
5.7119,2024-05-22,USD,FundPrice
5.7286,2024-05-21,USD,FundPrice
5.7306,2024-05-20,USD,FundPrice
5.7201,2024-05-17,USD,FundPrice
5.7169,2024-05-16,USD,FundPrice
5.7142,2024-05-15,USD,FundPrice
5.6538,2024-05-14,USD,FundPrice
5.6278,2024-05-13,USD,FundPrice
5.619,2024-05-10,USD,FundPrice
5.6026,2024-05-09,USD,FundPrice
5.5835,2024-05-08,USD,FundPrice
5.5982,2024-05-07,USD,FundPrice
5.5833,2024-05-06,USD,FundPrice
5.535,2024-05-03,USD,FundPrice
5.4671,2024-05-02,USD,FundPrice
5.4166,2024-05-01,USD,FundPrice
5.4316,2024-04-30,USD,FundPrice
5.495,2024-04-29,USD,FundPrice
5.4724,2024-04-26,USD,FundPrice
5.4151,2024-04-25,USD,FundPrice
5.4483,2024-04-24,USD,FundPrice
5.439,2024-04-23,USD,FundPrice
5.3707,2024-04-22,USD,FundPrice
5.3261,2024-04-19,USD,FundPrice
5.3795,2024-04-18,USD,FundPrice
5.3786,2024-04-17,USD,FundPrice
5.4063,2024-04-16,USD,FundPrice
5.4464,2024-04-15,USD,FundPrice
5.5078,2024-04-12,USD,FundPrice
5.5776,2024-04-11,USD,FundPrice
5.5576,2024-04-10,USD,FundPrice
5.6115,2024-04-09,USD,FundPrice
5.5998,2024-04-08,USD,FundPrice
5.5863,2024-04-05,USD,FundPrice
5.563,2024-04-04,USD,FundPrice
5.598,2024-04-03,USD,FundPrice
5.5945,2024-04-02,USD,FundPrice
5.6338,2024-04-01,USD,FundPrice
5.6527,2024-03-28,USD,FundPrice
5.6509,2024-03-27,USD,FundPrice
5.6178,2024-03-26,USD,FundPrice
5.6236,2024-03-25,USD,FundPrice
5.6399,2024-03-22,USD,FundPrice
5.6552,2024-03-21,USD,FundPrice
5.6124,2024-03-20,USD,FundPrice
5.5732,2024-03-19,USD,FundPrice
5.5615,2024-03-18,USD,FundPrice
5.5332,2024-03-15,USD,FundPrice
5.5741,2024-03-14,USD,FundPrice
5.61,2024-03-13,USD,FundPrice
5.6197,2024-03-12,USD,FundPrice
5.5676,2024-03-11,USD,FundPrice
5.5896,2024-03-08,USD,FundPrice
5.604,2024-03-07,USD,FundPrice
5.5482,2024-03-06,USD,FundPrice
5.5162,2024-03-05,USD,FundPrice
5.5638,2024-03-04,USD,FundPrice
5.5648,2024-03-01,USD,FundPrice
5.5203,2024-02-29,USD,FundPrice
5.4937,2024-02-28,USD,FundPrice
5.5148,2024-02-27,USD,FundPrice
5.5027,2024-02-26,USD,FundPrice
5.5133,2024-02-23,USD,FundPrice
5.5097,2024-02-22,USD,FundPrice
5.4129,2024-02-21,USD,FundPrice
