price,asOfDate,currencyCode,__typename
195.3625,2024-10-11,GBP,FundPrice
194.5933,2024-10-10,GBP,FundPrice
194.3607,2024-10-09,GBP,FundPrice
193.2714,2024-10-08,GBP,FundPrice
193.4069,2024-10-07,GBP,FundPrice
193.7045,2024-10-04,GBP,FundPrice
192.5873,2024-10-03,GBP,FundPrice
191.3337,2024-10-02,GBP,FundPrice
190.9002,2024-10-01,GBP,FundPrice
190.4128,2024-09-30,GBP,FundPrice
190.731,2024-09-27,GBP,FundPrice
190.1804,2024-09-26,GBP,FundPrice
188.8549,2024-09-25,GBP,FundPrice
188.9682,2024-09-24,GBP,FundPrice
188.4981,2024-09-23,GBP,FundPrice
188.9241,2024-09-20,GBP,FundPrice
189.8861,2024-09-19,GBP,FundPrice
187.4806,2024-09-18,GBP,FundPrice
188.3301,2024-09-17,GBP,FundPrice
188.0277,2024-09-16,GBP,FundPrice
188.2527,2024-09-13,GBP,FundPrice
187.9047,2024-09-12,GBP,FundPrice
187.1038,2024-09-11,GBP,FundPrice
185.3795,2024-09-10,GBP,FundPrice
184.8395,2024-09-09,GBP,FundPrice
182.4606,2024-09-06,GBP,FundPrice
185.0009,2024-09-05,GBP,FundPrice
185.4916,2024-09-04,GBP,FundPrice
187.423,2024-09-03,GBP,FundPrice
189.607,2024-09-02,GBP,FundPrice
189.928,2024-08-30,GBP,FundPrice
188.3081,2024-08-29,GBP,FundPrice
187.4163,2024-08-28,GBP,FundPrice
187.9144,2024-08-27,GBP,FundPrice
188.6667,2024-08-23,GBP,FundPrice
187.8552,2024-08-22,GBP,FundPrice
189.4719,2024-08-21,GBP,FundPrice
189.22,2024-08-20,GBP,FundPrice
189.9992,2024-08-19,GBP,FundPrice
189.6161,2024-08-16,GBP,FundPrice
189.0573,2024-08-15,GBP,FundPrice
186.8328,2024-08-14,GBP,FundPrice
186.257,2024-08-13,GBP,FundPrice
184.1772,2024-08-12,GBP,FundPrice
184.5656,2024-08-09,GBP,FundPrice
184.0092,2024-08-08,GBP,FundPrice
181.3758,2024-08-07,GBP,FundPrice
181.5663,2024-08-06,GBP,FundPrice
178.7112,2024-08-05,GBP,FundPrice
184.014,2024-08-02,GBP,FundPrice
188.1239,2024-08-01,GBP,FundPrice
189.9223,2024-07-31,GBP,FundPrice
187.3038,2024-07-30,GBP,FundPrice
