price,asOfDate,currencyCode,__typename
6.6398,2024-10-11,USD,FundPrice
6.6535,2024-10-10,USD,FundPrice
6.6234,2024-10-09,USD,FundPrice
6.626,2024-10-08,USD,FundPrice
6.7348,2024-10-07,USD,FundPrice
6.6514,2024-10-04,USD,FundPrice
6.7014,2024-10-03,USD,FundPrice
6.6751,2024-10-02,USD,FundPrice
6.8171,2024-10-01,USD,FundPrice
6.7896,2024-09-30,USD,FundPrice
6.9434,2024-09-27,USD,FundPrice
6.8016,2024-09-26,USD,FundPrice
6.65,2024-09-25,USD,FundPrice
6.7033,2024-09-24,USD,FundPrice
6.6796,2024-09-23,USD,FundPrice
6.6578,2024-09-20,USD,FundPrice
6.653,2024-09-19,USD,FundPrice
6.5831,2024-09-18,USD,FundPrice
6.5762,2024-09-17,USD,FundPrice
6.6267,2024-09-16,USD,FundPrice
6.6107,2024-09-13,USD,FundPrice
6.5823,2024-09-12,USD,FundPrice
6.4926,2024-09-11,USD,FundPrice
6.5395,2024-09-10,USD,FundPrice
6.5496,2024-09-09,USD,FundPrice
6.6208,2024-09-06,USD,FundPrice
6.6028,2024-09-05,USD,FundPrice
6.6134,2024-09-04,USD,FundPrice
6.7658,2024-09-03,USD,FundPrice
6.7235,2024-09-02,USD,FundPrice
6.7517,2024-08-30,USD,FundPrice
6.7227,2024-08-29,USD,FundPrice
6.7586,2024-08-28,USD,FundPrice
6.7463,2024-08-27,USD,FundPrice
6.7349,2024-08-26,USD,FundPrice
6.7251,2024-08-23,USD,FundPrice
6.6643,2024-08-22,USD,FundPrice
6.6641,2024-08-21,USD,FundPrice
6.6744,2024-08-20,USD,FundPrice
6.586,2024-08-19,USD,FundPrice
6.5676,2024-08-16,USD,FundPrice
6.3823,2024-08-15,USD,FundPrice
6.4087,2024-08-14,USD,FundPrice
6.3297,2024-08-13,USD,FundPrice
6.1924,2024-08-12,USD,FundPrice
6.2096,2024-08-09,USD,FundPrice
6.1287,2024-08-08,USD,FundPrice
6.1654,2024-08-07,USD,FundPrice
6.1299,2024-08-06,USD,FundPrice
5.835,2024-08-05,USD,FundPrice
6.3351,2024-08-02,USD,FundPrice
6.5567,2024-08-01,USD,FundPrice
6.6682,2024-07-31,USD,FundPrice
6.4564,2024-07-30,USD,FundPrice
6.4893,2024-07-29,USD,FundPrice
6.3945,2024-07-26,USD,FundPrice
6.3981,2024-07-25,USD,FundPrice
6.5703,2024-07-24,USD,FundPrice
6.5644,2024-07-23,USD,FundPrice
6.5218,2024-07-22,USD,FundPrice
6.5804,2024-07-19,USD,FundPrice
6.636,2024-07-18,USD,FundPrice
6.7197,2024-07-17,USD,FundPrice
6.6491,2024-07-16,USD,FundPrice
6.6771,2024-07-15,USD,FundPrice
6.6768,2024-07-12,USD,FundPrice
6.6965,2024-07-11,USD,FundPrice
6.555,2024-07-10,USD,FundPrice
6.5316,2024-07-09,USD,FundPrice
6.4945,2024-07-08,USD,FundPrice
6.5173,2024-07-05,USD,FundPrice
6.5186,2024-07-04,USD,FundPrice
6.4444,2024-07-03,USD,FundPrice
6.397,2024-07-02,USD,FundPrice
6.3677,2024-07-01,USD,FundPrice
6.3826,2024-06-28,USD,FundPrice
6.3528,2024-06-27,USD,FundPrice
6.3672,2024-06-26,USD,FundPrice
6.3663,2024-06-25,USD,FundPrice
6.2921,2024-06-24,USD,FundPrice
6.2805,2024-06-21,USD,FundPrice
6.3177,2024-06-20,USD,FundPrice
6.3408,2024-06-19,USD,FundPrice
6.3033,2024-06-18,USD,FundPrice
6.2486,2024-06-17,USD,FundPrice
6.3346,2024-06-14,USD,FundPrice
6.3523,2024-06-13,USD,FundPrice
6.4499,2024-06-12,USD,FundPrice
6.4238,2024-06-11,USD,FundPrice
6.4633,2024-06-10,USD,FundPrice
6.4481,2024-06-07,USD,FundPrice
6.4687,2024-06-06,USD,FundPrice
6.4328,2024-06-05,USD,FundPrice
6.4998,2024-06-04,USD,FundPrice
6.4885,2024-06-03,USD,FundPrice
6.396,2024-05-31,USD,FundPrice
6.3399,2024-05-30,USD,FundPrice
6.3634,2024-05-29,USD,FundPrice
6.4611,2024-05-28,USD,FundPrice
6.4626,2024-05-27,USD,FundPrice
6.3917,2024-05-24,USD,FundPrice
6.448,2024-05-23,USD,FundPrice
6.4405,2024-05-22,USD,FundPrice
6.4884,2024-05-21,USD,FundPrice
6.5241,2024-05-20,USD,FundPrice
6.5071,2024-05-17,USD,FundPrice
6.5212,2024-05-16,USD,FundPrice
6.4584,2024-05-15,USD,FundPrice
6.4217,2024-05-14,USD,FundPrice
6.4264,2024-05-13,USD,FundPrice
6.4231,2024-05-10,USD,FundPrice
6.4029,2024-05-09,USD,FundPrice
6.4154,2024-05-08,USD,FundPrice
6.5004,2024-05-07,USD,FundPrice
6.4475,2024-05-06,USD,FundPrice
6.4592,2024-05-03,USD,FundPrice
6.3968,2024-05-02,USD,FundPrice
6.293,2024-05-01,USD,FundPrice
6.3311,2024-04-30,USD,FundPrice
6.2884,2024-04-29,USD,FundPrice
