price,asOfDate,currencyCode,__typename
201.887,2024-10-11,GBP,FundPrice
201.772,2024-10-10,GBP,FundPrice
199.2217,2024-10-09,GBP,FundPrice
200.3446,2024-10-08,GBP,FundPrice
205.3098,2024-10-07,GBP,FundPrice
203.925,2024-10-04,GBP,FundPrice
202.7426,2024-10-03,GBP,FundPrice
203.1643,2024-10-02,GBP,FundPrice
199.937,2024-10-01,GBP,FundPrice
197.6352,2024-09-30,GBP,FundPrice
198.4353,2024-09-27,GBP,FundPrice
196.7355,2024-09-26,GBP,FundPrice
192.4957,2024-09-25,GBP,FundPrice
191.5809,2024-09-24,GBP,FundPrice
188.4195,2024-09-23,GBP,FundPrice
188.7227,2024-09-20,GBP,FundPrice
188.092,2024-09-19,GBP,FundPrice
186.4325,2024-09-18,GBP,FundPrice
187.2608,2024-09-17,GBP,FundPrice
186.3602,2024-09-16,GBP,FundPrice
186.3229,2024-09-13,GBP,FundPrice
186.2829,2024-09-12,GBP,FundPrice
184.2249,2024-09-11,GBP,FundPrice
184.299,2024-09-10,GBP,FundPrice
184.3089,2024-09-09,GBP,FundPrice
184.4532,2024-09-06,GBP,FundPrice
185.0323,2024-09-05,GBP,FundPrice
184.5587,2024-09-04,GBP,FundPrice
188.2843,2024-09-03,GBP,FundPrice
188.5175,2024-09-02,GBP,FundPrice
189.2838,2024-08-30,GBP,FundPrice
188.2247,2024-08-29,GBP,FundPrice
187.7839,2024-08-28,GBP,FundPrice
187.959,2024-08-27,GBP,FundPrice
189.1969,2024-08-26,GBP,FundPrice
188.8101,2024-08-23,GBP,FundPrice
190.0384,2024-08-22,GBP,FundPrice
190.6505,2024-08-21,GBP,FundPrice
191.7099,2024-08-20,GBP,FundPrice
192.2803,2024-08-19,GBP,FundPrice
192.4365,2024-08-16,GBP,FundPrice
189.9319,2024-08-15,GBP,FundPrice
189.9359,2024-08-14,GBP,FundPrice
189.4375,2024-08-13,GBP,FundPrice
189.5718,2024-08-12,GBP,FundPrice
188.9353,2024-08-09,GBP,FundPrice
186.596,2024-08-08,GBP,FundPrice
187.4037,2024-08-07,GBP,FundPrice
183.89,2024-08-06,GBP,FundPrice
180.4983,2024-08-05,GBP,FundPrice
187.6104,2024-08-02,GBP,FundPrice
192.4896,2024-08-01,GBP,FundPrice
191.2338,2024-07-31,GBP,FundPrice
189.0994,2024-07-30,GBP,FundPrice
189.8327,2024-07-29,GBP,FundPrice
188.9426,2024-07-26,GBP,FundPrice
188.8447,2024-07-25,GBP,FundPrice
189.6951,2024-07-24,GBP,FundPrice
190.6306,2024-07-23,GBP,FundPrice
190.3231,2024-07-22,GBP,FundPrice
190.9209,2024-07-19,GBP,FundPrice
192.8322,2024-07-18,GBP,FundPrice
193.2772,2024-07-17,GBP,FundPrice
195.2771,2024-07-16,GBP,FundPrice
195.2256,2024-07-15,GBP,FundPrice
195.7112,2024-07-12,GBP,FundPrice
196.8999,2024-07-11,GBP,FundPrice
195.9364,2024-07-10,GBP,FundPrice
196.4731,2024-07-09,GBP,FundPrice
195.1785,2024-07-08,GBP,FundPrice
195.1363,2024-07-05,GBP,FundPrice
195.5275,2024-07-04,GBP,FundPrice
193.323,2024-07-03,GBP,FundPrice
192.2935,2024-07-02,GBP,FundPrice
194.0792,2024-07-01,GBP,FundPrice
193.9073,2024-06-28,GBP,FundPrice
193.0366,2024-06-27,GBP,FundPrice
194.0547,2024-06-26,GBP,FundPrice
192.8415,2024-06-25,GBP,FundPrice
192.7242,2024-06-24,GBP,FundPrice
194.0946,2024-06-21,GBP,FundPrice
194.6378,2024-06-20,GBP,FundPrice
193.7837,2024-06-19,GBP,FundPrice
192.0332,2024-06-18,GBP,FundPrice
190.7903,2024-06-17,GBP,FundPrice
191.5014,2024-06-14,GBP,FundPrice
189.7584,2024-06-13,GBP,FundPrice
187.3663,2024-06-12,GBP,FundPrice
188.6315,2024-06-11,GBP,FundPrice
189.3365,2024-06-10,GBP,FundPrice
189.8169,2024-06-07,GBP,FundPrice
189.0986,2024-06-06,GBP,FundPrice
187.599,2024-06-05,GBP,FundPrice
185.0797,2024-06-04,GBP,FundPrice
188.3663,2024-06-03,GBP,FundPrice
185.3619,2024-05-31,GBP,FundPrice
186.8028,2024-05-30,GBP,FundPrice
189.5758,2024-05-29,GBP,FundPrice
191.4526,2024-05-28,GBP,FundPrice
191.849,2024-05-27,GBP,FundPrice
191.1259,2024-05-24,GBP,FundPrice
193.0291,2024-05-23,GBP,FundPrice
193.4937,2024-05-22,GBP,FundPrice
193.1838,2024-05-21,GBP,FundPrice
194.9224,2024-05-20,GBP,FundPrice
194.3805,2024-05-17,GBP,FundPrice
194.572,2024-05-16,GBP,FundPrice
192.7061,2024-05-15,GBP,FundPrice
192.6263,2024-05-14,GBP,FundPrice
192.9112,2024-05-13,GBP,FundPrice
192.4969,2024-05-10,GBP,FundPrice
190.8901,2024-05-09,GBP,FundPrice
191.7571,2024-05-08,GBP,FundPrice
191.1208,2024-05-07,GBP,FundPrice
190.4578,2024-05-06,GBP,FundPrice
189.9906,2024-05-03,GBP,FundPrice
189.3053,2024-05-02,GBP,FundPrice
187.7522,2024-05-01,GBP,FundPrice
187.352,2024-04-30,GBP,FundPrice
187.9653,2024-04-29,GBP,FundPrice
187.4473,2024-04-26,GBP,FundPrice
184.6816,2024-04-25,GBP,FundPrice
186.6138,2024-04-24,GBP,FundPrice
183.8642,2024-04-23,GBP,FundPrice
184.031,2024-04-22,GBP,FundPrice
181.135,2024-04-19,GBP,FundPrice
183.5247,2024-04-18,GBP,FundPrice
182.336,2024-04-17,GBP,FundPrice
181.9352,2024-04-16,GBP,FundPrice
185.5577,2024-04-15,GBP,FundPrice
187.703,2024-04-12,GBP,FundPrice
188.8289,2024-04-11,GBP,FundPrice
188.6379,2024-04-10,GBP,FundPrice
186.5983,2024-04-09,GBP,FundPrice
185.916,2024-04-08,GBP,FundPrice
185.7701,2024-04-05,GBP,FundPrice
185.502,2024-04-04,GBP,FundPrice
185.1662,2024-04-03,GBP,FundPrice
187.086,2024-04-02,GBP,FundPrice
185.7639,2024-04-01,GBP,FundPrice
184.4848,2024-03-28,GBP,FundPrice
183.8534,2024-03-27,GBP,FundPrice
184.4459,2024-03-26,GBP,FundPrice
183.4864,2024-03-25,GBP,FundPrice
184.6083,2024-03-22,GBP,FundPrice
185.2862,2024-03-21,GBP,FundPrice
181.7232,2024-03-20,GBP,FundPrice
180.8747,2024-03-19,GBP,FundPrice
182.361,2024-03-18,GBP,FundPrice
181.5988,2024-03-15,GBP,FundPrice
183.9456,2024-03-14,GBP,FundPrice
182.7092,2024-03-13,GBP,FundPrice
