price,asOfDate,currencyCode,__typename
5.8917,2024-10-11,EUR,FundPrice
5.8583,2024-10-10,EUR,FundPrice
5.8674,2024-10-09,EUR,FundPrice
5.8268,2024-10-08,EUR,FundPrice
5.8414,2024-10-07,EUR,FundPrice
5.8335,2024-10-04,EUR,FundPrice
5.8104,2024-10-03,EUR,FundPrice
5.8678,2024-10-02,EUR,FundPrice
5.8732,2024-10-01,EUR,FundPrice
5.9048,2024-09-30,EUR,FundPrice
5.9623,2024-09-27,EUR,FundPrice
5.9357,2024-09-26,EUR,FundPrice
5.8624,2024-09-25,EUR,FundPrice
5.8636,2024-09-24,EUR,FundPrice
5.833,2024-09-23,EUR,FundPrice
5.8199,2024-09-20,EUR,FundPrice
5.9082,2024-09-19,EUR,FundPrice
5.8316,2024-09-18,EUR,FundPrice
5.8609,2024-09-17,EUR,FundPrice
5.8389,2024-09-16,EUR,FundPrice
5.8469,2024-09-13,EUR,FundPrice
5.7998,2024-09-12,EUR,FundPrice
5.7736,2024-09-11,EUR,FundPrice
5.7753,2024-09-10,EUR,FundPrice
5.8068,2024-09-09,EUR,FundPrice
5.7676,2024-09-06,EUR,FundPrice
5.8206,2024-09-05,EUR,FundPrice
5.8538,2024-09-04,EUR,FundPrice
5.9132,2024-09-03,EUR,FundPrice
5.967,2024-09-02,EUR,FundPrice
5.9657,2024-08-30,EUR,FundPrice
5.953,2024-08-29,EUR,FundPrice
5.9067,2024-08-28,EUR,FundPrice
5.8869,2024-08-27,EUR,FundPrice
5.8768,2024-08-26,EUR,FundPrice
5.8827,2024-08-23,EUR,FundPrice
5.8574,2024-08-22,EUR,FundPrice
5.8314,2024-08-21,EUR,FundPrice
5.8119,2024-08-20,EUR,FundPrice
5.8325,2024-08-19,EUR,FundPrice
5.8005,2024-08-16,EUR,FundPrice
5.7807,2024-08-15,EUR,FundPrice
5.71,2024-08-14,EUR,FundPrice
5.6785,2024-08-13,EUR,FundPrice
5.6448,2024-08-12,EUR,FundPrice
5.6536,2024-08-09,EUR,FundPrice
5.6164,2024-08-08,EUR,FundPrice
5.6097,2024-08-07,EUR,FundPrice
5.5311,2024-08-06,EUR,FundPrice
5.511,2024-08-05,EUR,FundPrice
5.6316,2024-08-02,EUR,FundPrice
5.7993,2024-08-01,EUR,FundPrice
5.8607,2024-07-31,EUR,FundPrice
5.8222,2024-07-30,EUR,FundPrice
5.7905,2024-07-29,EUR,FundPrice
5.7921,2024-07-26,EUR,FundPrice
5.7489,2024-07-25,EUR,FundPrice
5.7913,2024-07-24,EUR,FundPrice
5.8266,2024-07-23,EUR,FundPrice
5.8149,2024-07-22,EUR,FundPrice
5.7556,2024-07-19,EUR,FundPrice
5.7993,2024-07-18,EUR,FundPrice
5.8074,2024-07-17,EUR,FundPrice
5.8462,2024-07-16,EUR,FundPrice
5.8569,2024-07-15,EUR,FundPrice
5.9088,2024-07-12,EUR,FundPrice
5.8581,2024-07-11,EUR,FundPrice
5.823,2024-07-10,EUR,FundPrice
5.7698,2024-07-09,EUR,FundPrice
5.815,2024-07-08,EUR,FundPrice
5.8091,2024-07-05,EUR,FundPrice
5.8079,2024-07-04,EUR,FundPrice
5.7791,2024-07-03,EUR,FundPrice
5.7417,2024-07-02,EUR,FundPrice
5.7703,2024-07-01,EUR,FundPrice
5.7609,2024-06-28,EUR,FundPrice
5.7721,2024-06-27,EUR,FundPrice
5.793,2024-06-26,EUR,FundPrice
5.8212,2024-06-25,EUR,FundPrice
5.8381,2024-06-24,EUR,FundPrice
5.7972,2024-06-21,EUR,FundPrice
5.8382,2024-06-20,EUR,FundPrice
