price,asOfDate,currencyCode,__typename
42.8582,2024-10-11,USD,FundPrice
42.8802,2024-10-10,USD,FundPrice
43.1152,2024-10-09,USD,FundPrice
43.144,2024-10-08,USD,FundPrice
43.1458,2024-10-07,USD,FundPrice
43.2514,2024-10-04,USD,FundPrice
43.4162,2024-10-03,USD,FundPrice
43.533,2024-10-02,USD,FundPrice
43.5694,2024-10-01,USD,FundPrice
43.4719,2024-09-30,USD,FundPrice
43.4653,2024-09-27,USD,FundPrice
43.4074,2024-09-26,USD,FundPrice
43.3813,2024-09-25,USD,FundPrice
43.4293,2024-09-24,USD,FundPrice
43.3979,2024-09-23,USD,FundPrice
43.4474,2024-09-20,USD,FundPrice
43.522,2024-09-19,USD,FundPrice
43.4145,2024-09-18,USD,FundPrice
43.4827,2024-09-17,USD,FundPrice
43.3996,2024-09-16,USD,FundPrice
43.2006,2024-09-13,USD,FundPrice
43.0564,2024-09-12,USD,FundPrice
43.1887,2024-09-11,USD,FundPrice
43.1595,2024-09-10,USD,FundPrice
43.116,2024-09-09,USD,FundPrice
43.0909,2024-09-06,USD,FundPrice
43.0517,2024-09-05,USD,FundPrice
42.9629,2024-09-04,USD,FundPrice
42.8681,2024-09-03,USD,FundPrice
42.8603,2024-09-02,USD,FundPrice
42.8399,2024-08-30,USD,FundPrice
42.8747,2024-08-29,USD,FundPrice
42.9009,2024-08-28,USD,FundPrice
42.8943,2024-08-27,USD,FundPrice
42.8827,2024-08-26,USD,FundPrice
42.854,2024-08-23,USD,FundPrice
42.7188,2024-08-22,USD,FundPrice
42.8003,2024-08-21,USD,FundPrice
42.7667,2024-08-20,USD,FundPrice
42.6292,2024-08-19,USD,FundPrice
42.523,2024-08-16,USD,FundPrice
42.4335,2024-08-15,USD,FundPrice
42.6836,2024-08-14,USD,FundPrice
42.5543,2024-08-13,USD,FundPrice
42.4348,2024-08-12,USD,FundPrice
42.3583,2024-08-09,USD,FundPrice
42.2234,2024-08-08,USD,FundPrice
42.2117,2024-08-07,USD,FundPrice
42.1511,2024-08-06,USD,FundPrice
42.2304,2024-08-05,USD,FundPrice
42.4042,2024-08-02,USD,FundPrice
42.2385,2024-08-01,USD,FundPrice
42.1895,2024-07-31,USD,FundPrice
41.9961,2024-07-30,USD,FundPrice
41.9872,2024-07-29,USD,FundPrice
41.8957,2024-07-26,USD,FundPrice
41.7885,2024-07-25,USD,FundPrice
41.7782,2024-07-24,USD,FundPrice
41.886,2024-07-23,USD,FundPrice
41.8437,2024-07-22,USD,FundPrice
41.7867,2024-07-19,USD,FundPrice
41.876,2024-07-18,USD,FundPrice
41.9584,2024-07-17,USD,FundPrice
41.9992,2024-07-16,USD,FundPrice
41.9189,2024-07-15,USD,FundPrice
42.0044,2024-07-12,USD,FundPrice
41.9439,2024-07-11,USD,FundPrice
41.8941,2024-07-10,USD,FundPrice
41.8171,2024-07-09,USD,FundPrice
41.8641,2024-07-08,USD,FundPrice
41.7846,2024-07-05,USD,FundPrice
41.5914,2024-07-04,USD,FundPrice
41.5828,2024-07-03,USD,FundPrice
41.3707,2024-07-02,USD,FundPrice
41.3134,2024-07-01,USD,FundPrice
41.5423,2024-06-28,USD,FundPrice
41.6987,2024-06-27,USD,FundPrice
41.6793,2024-06-26,USD,FundPrice
41.8019,2024-06-25,USD,FundPrice
41.7886,2024-06-24,USD,FundPrice
41.759,2024-06-21,USD,FundPrice
41.7676,2024-06-20,USD,FundPrice
