asOfDate,price,currencyCode,__typename
2017-11-02,100.42,GBP,FundPrice
2017-11-03,100.4456,GBP,FundPrice
2017-11-04,100.4456,GBP,FundPrice
2017-11-05,100.4456,GBP,FundPrice
2017-11-06,100.795,GBP,FundPrice
2017-11-07,100.7974,GBP,FundPrice
2017-11-08,100.7095,GBP,FundPrice
2017-11-09,100.1102,GBP,FundPrice
2017-11-10,99.7164,GBP,FundPrice
2017-11-11,99.7164,GBP,FundPrice
2017-11-12,99.7164,GBP,FundPrice
2017-11-13,100.1317,GBP,FundPrice
2017-11-14,100.1937,GBP,FundPrice
2017-11-15,100.4874,GBP,FundPrice
2017-11-16,99.921,GBP,FundPrice
2017-11-17,100.0978,GBP,FundPrice
2017-11-18,100.0978,GBP,FundPrice
2017-11-19,100.0978,GBP,FundPrice
2017-11-20,100.5235,GBP,FundPrice
2017-11-21,100.204,GBP,FundPrice
2017-11-22,100.7705,GBP,FundPrice
2017-11-23,100.395,GBP,FundPrice
2017-11-24,100.753,GBP,FundPrice
2017-11-25,100.753,GBP,FundPrice
2017-11-26,100.753,GBP,FundPrice
2017-11-27,100.7994,GBP,FundPrice
2017-11-28,100.8201,GBP,FundPrice
2017-11-29,100.5918,GBP,FundPrice
2017-11-30,100.0842,GBP,FundPrice
2017-12-01,100.8194,GBP,FundPrice
2017-12-02,100.8194,GBP,FundPrice
2017-12-03,100.8194,GBP,FundPrice
2017-12-04,100.8348,GBP,FundPrice
2017-12-05,100.952,GBP,FundPrice
2017-12-06,101.0904,GBP,FundPrice
2017-12-07,100.941,GBP,FundPrice
2017-12-08,100.4943,GBP,FundPrice
2017-12-09,100.4943,GBP,FundPrice
2017-12-10,100.4943,GBP,FundPrice
2017-12-11,100.9235,GBP,FundPrice
2017-12-12,100.9171,GBP,FundPrice
2017-12-13,101.1289,GBP,FundPrice
2017-12-14,100.7499,GBP,FundPrice
2017-12-15,101.2728,GBP,FundPrice
2017-12-16,101.2728,GBP,FundPrice
2017-12-17,101.2728,GBP,FundPrice
2017-12-18,101.1045,GBP,FundPrice
2017-12-19,100.7959,GBP,FundPrice
2017-12-20,100.0928,GBP,FundPrice
2017-12-21,100.6335,GBP,FundPrice
2017-12-22,100.2637,GBP,FundPrice
2017-12-23,100.2637,GBP,FundPrice
2017-12-24,100.2637,GBP,FundPrice
2017-12-25,100.2637,GBP,FundPrice
2017-12-26,100.3321,GBP,FundPrice
2017-12-27,101.0459,GBP,FundPrice
2017-12-28,100.9232,GBP,FundPrice
2017-12-29,100.5767,GBP,FundPrice
2017-12-30,100.5767,GBP,FundPrice
2017-12-31,100.5767,GBP,FundPrice
2018-01-01,100.5767,GBP,FundPrice
2018-01-02,100.7281,GBP,FundPrice
2018-01-03,100.8507,GBP,FundPrice
2018-01-04,100.8308,GBP,FundPrice
2018-01-05,100.8259,GBP,FundPrice
2018-01-06,100.8259,GBP,FundPrice
2018-01-07,100.8259,GBP,FundPrice
2018-01-08,100.8854,GBP,FundPrice
2018-01-09,100.2014,GBP,FundPrice
2018-01-10,100.6467,GBP,FundPrice
2018-01-11,100.6506,GBP,FundPrice
2018-01-12,100.2256,GBP,FundPrice
2018-01-13,100.2256,GBP,FundPrice
2018-01-14,100.2256,GBP,FundPrice
2018-01-15,100.2718,GBP,FundPrice
2018-01-16,100.8136,GBP,FundPrice
2018-01-17,100.2751,GBP,FundPrice
2018-01-18,100.4743,GBP,FundPrice
2018-01-19,100.379,GBP,FundPrice
2018-01-20,100.379,GBP,FundPrice
2018-01-21,100.379,GBP,FundPrice
2018-01-22,100.3677,GBP,FundPrice
2018-01-23,100.6046,GBP,FundPrice
2018-01-24,100.5072,GBP,FundPrice
2018-01-25,100.3023,GBP,FundPrice
2018-01-26,100.6138,GBP,FundPrice
2018-01-27,100.6138,GBP,FundPrice
2018-01-28,100.6138,GBP,FundPrice
2018-01-29,100.4784,GBP,FundPrice
2018-01-30,100.338,GBP,FundPrice
2018-01-31,100.4086,GBP,FundPrice
2018-02-01,100.136,GBP,FundPrice
