price,asOfDate,currencyCode,__typename
368.1757,2024-10-11,GBP,FundPrice
367.3003,2024-10-10,GBP,FundPrice
366.9351,2024-10-09,GBP,FundPrice
364.6916,2024-10-08,GBP,FundPrice
365.4153,2024-10-07,GBP,FundPrice
365.6873,2024-10-04,GBP,FundPrice
364.0038,2024-10-03,GBP,FundPrice
362.4302,2024-10-02,GBP,FundPrice
361.8298,2024-10-01,GBP,FundPrice
360.9137,2024-09-30,GBP,FundPrice
362.3239,2024-09-27,GBP,FundPrice
360.7804,2024-09-26,GBP,FundPrice
358.4777,2024-09-25,GBP,FundPrice
359.0674,2024-09-24,GBP,FundPrice
358.2092,2024-09-23,GBP,FundPrice
358.6137,2024-09-20,GBP,FundPrice
360.9857,2024-09-19,GBP,FundPrice
356.5797,2024-09-18,GBP,FundPrice
358.3942,2024-09-17,GBP,FundPrice
357.7667,2024-09-16,GBP,FundPrice
357.788,2024-09-13,GBP,FundPrice
357.3726,2024-09-12,GBP,FundPrice
355.5368,2024-09-11,GBP,FundPrice
353.2369,2024-09-10,GBP,FundPrice
352.6145,2024-09-09,GBP,FundPrice
348.464,2024-09-06,GBP,FundPrice
352.9243,2024-09-05,GBP,FundPrice
353.5662,2024-09-04,GBP,FundPrice
357.1155,2024-09-03,GBP,FundPrice
360.9286,2024-09-02,GBP,FundPrice
361.1939,2024-08-30,GBP,FundPrice
358.7671,2024-08-29,GBP,FundPrice
357.5157,2024-08-28,GBP,FundPrice
357.9252,2024-08-27,GBP,FundPrice
359.2491,2024-08-23,GBP,FundPrice
357.4943,2024-08-22,GBP,FundPrice
360.2012,2024-08-21,GBP,FundPrice
359.4013,2024-08-20,GBP,FundPrice
361.2482,2024-08-19,GBP,FundPrice
360.6177,2024-08-16,GBP,FundPrice
359.682,2024-08-15,GBP,FundPrice
355.8792,2024-08-14,GBP,FundPrice
354.1772,2024-08-13,GBP,FundPrice
350.7226,2024-08-12,GBP,FundPrice
351.188,2024-08-09,GBP,FundPrice
349.7855,2024-08-08,GBP,FundPrice
346.3001,2024-08-07,GBP,FundPrice
345.3653,2024-08-06,GBP,FundPrice
340.3866,2024-08-05,GBP,FundPrice
350.4748,2024-08-02,GBP,FundPrice
357.7152,2024-08-01,GBP,FundPrice
360.6835,2024-07-31,GBP,FundPrice
356.1604,2024-07-30,GBP,FundPrice
356.7702,2024-07-29,GBP,FundPrice
355.9713,2024-07-26,GBP,FundPrice
352.4207,2024-07-25,GBP,FundPrice
353.3032,2024-07-24,GBP,FundPrice
358.247,2024-07-23,GBP,FundPrice
358.5788,2024-07-22,GBP,FundPrice
355.7702,2024-07-19,GBP,FundPrice
357.2644,2024-07-18,GBP,FundPrice
358.7673,2024-07-17,GBP,FundPrice
362.4412,2024-07-16,GBP,FundPrice
360.8679,2024-07-15,GBP,FundPrice
360.868,2024-07-12,GBP,FundPrice
360.9341,2024-07-11,GBP,FundPrice
362.4771,2024-07-10,GBP,FundPrice
360.1903,2024-07-09,GBP,FundPrice
360.1153,2024-07-08,GBP,FundPrice
360.7534,2024-07-05,GBP,FundPrice
360.8454,2024-07-04,GBP,FundPrice
359.3731,2024-07-03,GBP,FundPrice
358.6488,2024-07-02,GBP,FundPrice
358.7047,2024-07-01,GBP,FundPrice
358.1964,2024-06-28,GBP,FundPrice
358.6692,2024-06-27,GBP,FundPrice
359.5175,2024-06-26,GBP,FundPrice
358.3324,2024-06-25,GBP,FundPrice
357.9623,2024-06-24,GBP,FundPrice
358.4526,2024-06-21,GBP,FundPrice
358.8809,2024-06-20,GBP,FundPrice
357.4404,2024-06-19,GBP,FundPrice
357.8073,2024-06-18,GBP,FundPrice
356.2513,2024-06-17,GBP,FundPrice
355.5376,2024-06-14,GBP,FundPrice
354.4454,2024-06-13,GBP,FundPrice
354.114,2024-06-12,GBP,FundPrice
353.5036,2024-06-11,GBP,FundPrice
354.1021,2024-06-10,GBP,FundPrice
354.0777,2024-06-07,GBP,FundPrice
354.4908,2024-06-06,GBP,FundPrice
353.6364,2024-06-05,GBP,FundPrice
350.3963,2024-06-04,GBP,FundPrice
351.6745,2024-06-03,GBP,FundPrice
351.0032,2024-05-31,GBP,FundPrice
349.1831,2024-05-30,GBP,FundPrice
350.1368,2024-05-29,GBP,FundPrice
352.0605,2024-05-28,GBP,FundPrice
353.3389,2024-05-24,GBP,FundPrice
352.8401,2024-05-23,GBP,FundPrice
354.2854,2024-05-22,GBP,FundPrice
355.7074,2024-05-21,GBP,FundPrice
356.1396,2024-05-20,GBP,FundPrice
355.7759,2024-05-17,GBP,FundPrice
356.3519,2024-05-16,GBP,FundPrice
356.4893,2024-05-15,GBP,FundPrice
354.7307,2024-05-14,GBP,FundPrice
354.0883,2024-05-13,GBP,FundPrice
355.4888,2024-05-10,GBP,FundPrice
353.6864,2024-05-09,GBP,FundPrice
352.6684,2024-05-08,GBP,FundPrice
351.8519,2024-05-07,GBP,FundPrice
347.6035,2024-05-03,GBP,FundPrice
345.4021,2024-05-02,GBP,FundPrice
342.7512,2024-05-01,GBP,FundPrice
342.8051,2024-04-30,GBP,FundPrice
345.6267,2024-04-29,GBP,FundPrice
345.8194,2024-04-26,GBP,FundPrice
342.2243,2024-04-25,GBP,FundPrice
344.6507,2024-04-24,GBP,FundPrice
344.1875,2024-04-23,GBP,FundPrice
342.9698,2024-04-22,GBP,FundPrice
337.417,2024-04-19,GBP,FundPrice
339.4977,2024-04-18,GBP,FundPrice
338.8914,2024-04-17,GBP,FundPrice
339.6557,2024-04-16,GBP,FundPrice
342.9903,2024-04-15,GBP,FundPrice
346.2228,2024-04-12,GBP,FundPrice
347.3263,2024-04-11,GBP,FundPrice
345.7673,2024-04-10,GBP,FundPrice
345.5052,2024-04-09,GBP,FundPrice
345.7964,2024-04-08,GBP,FundPrice
345.2497,2024-04-05,GBP,FundPrice
344.0623,2024-04-04,GBP,FundPrice
346.0898,2024-04-03,GBP,FundPrice
346.908,2024-04-02,GBP,FundPrice
347.9997,2024-03-28,GBP,FundPrice
347.6149,2024-03-27,GBP,FundPrice
345.6335,2024-03-26,GBP,FundPrice
345.6849,2024-03-25,GBP,FundPrice
347.1267,2024-03-22,GBP,FundPrice
346.3486,2024-03-21,GBP,FundPrice
340.8389,2024-03-20,GBP,FundPrice
340.4117,2024-03-19,GBP,FundPrice
339.2187,2024-03-18,GBP,FundPrice
337.8101,2024-03-15,GBP,FundPrice
339.083,2024-03-14,GBP,FundPrice
339.1079,2024-03-13,GBP,FundPrice
339.6638,2024-03-12,GBP,FundPrice
335.9659,2024-03-11,GBP,FundPrice
335.3617,2024-03-08,GBP,FundPrice
337.9322,2024-03-07,GBP,FundPrice
335.9835,2024-03-06,GBP,FundPrice
334.6257,2024-03-05,GBP,FundPrice
337.179,2024-03-04,GBP,FundPrice
338.5035,2024-03-01,GBP,FundPrice
336.0225,2024-02-29,GBP,FundPrice
334.713,2024-02-28,GBP,FundPrice
335.5037,2024-02-27,GBP,FundPrice
334.8974,2024-02-26,GBP,FundPrice
335.8905,2024-02-23,GBP,FundPrice
336.6161,2024-02-22,GBP,FundPrice
332.1399,2024-02-21,GBP,FundPrice
331.3965,2024-02-20,GBP,FundPrice
334.1656,2024-02-19,GBP,FundPrice
333.8981,2024-02-16,GBP,FundPrice
332.9634,2024-02-15,GBP,FundPrice
331.3311,2024-02-14,GBP,FundPrice
327.9652,2024-02-13,GBP,FundPrice
331.1547,2024-02-12,GBP,FundPrice
330.6087,2024-02-09,GBP,FundPrice
330.3239,2024-02-08,GBP,FundPrice
330.0287,2024-02-07,GBP,FundPrice
330.0942,2024-02-06,GBP,FundPrice
329.4241,2024-02-05,GBP,FundPrice
327.8942,2024-02-02,GBP,FundPrice
325.7988,2024-02-01,GBP,FundPrice
323.3311,2024-01-31,GBP,FundPrice
326.9109,2024-01-30,GBP,FundPrice
326.6612,2024-01-29,GBP,FundPrice
324.5628,2024-01-26,GBP,FundPrice
323.657,2024-01-25,GBP,FundPrice
322.047,2024-01-24,GBP,FundPrice
322.08,2024-01-23,GBP,FundPrice
320.9283,2024-01-22,GBP,FundPrice
320.4829,2024-01-19,GBP,FundPrice
318.1434,2024-01-18,GBP,FundPrice
316.549,2024-01-17,GBP,FundPrice
320.0797,2024-01-16,GBP,FundPrice
320.671,2024-01-15,GBP,FundPrice
320.5787,2024-01-12,GBP,FundPrice
320.3102,2024-01-11,GBP,FundPrice
320.3312,2024-01-10,GBP,FundPrice
320.6021,2024-01-09,GBP,FundPrice
320.0791,2024-01-08,GBP,FundPrice
317.7104,2024-01-05,GBP,FundPrice
318.9957,2024-01-04,GBP,FundPrice
319.7968,2024-01-03,GBP,FundPrice
323.1934,2024-01-02,GBP,FundPrice
322.4215,2023-12-29,GBP,FundPrice
322.8795,2023-12-28,GBP,FundPrice
321.9796,2023-12-27,GBP,FundPrice
320.6456,2023-12-22,GBP,FundPrice
321.7104,2023-12-21,GBP,FundPrice
319.918,2023-12-20,GBP,FundPrice
319.9192,2023-12-19,GBP,FundPrice
319.9577,2023-12-18,GBP,FundPrice
318.069,2023-12-15,GBP,FundPrice
317.7485,2023-12-14,GBP,FundPrice
318.6226,2023-12-13,GBP,FundPrice
315.4915,2023-12-12,GBP,FundPrice
314.6086,2023-12-11,GBP,FundPrice
314.4629,2023-12-08,GBP,FundPrice
312.7136,2023-12-07,GBP,FundPrice
311.2643,2023-12-06,GBP,FundPrice
310.577,2023-12-05,GBP,FundPrice
310.9732,2023-12-04,GBP,FundPrice
311.9512,2023-12-01,GBP,FundPrice
309.6175,2023-11-30,GBP,FundPrice
308.0196,2023-11-29,GBP,FundPrice
308.1843,2023-11-28,GBP,FundPrice
309.1814,2023-11-27,GBP,FundPrice
310.1437,2023-11-24,GBP,FundPrice
311.2899,2023-11-23,GBP,FundPrice
312.2126,2023-11-22,GBP,FundPrice
310.4563,2023-11-21,GBP,FundPrice
311.5523,2023-11-20,GBP,FundPrice
311.3931,2023-11-17,GBP,FundPrice
309.6368,2023-11-16,GBP,FundPrice
310.4222,2023-11-15,GBP,FundPrice
308.1619,2023-11-14,GBP,FundPrice
306.9618,2023-11-13,GBP,FundPrice
307.2142,2023-11-10,GBP,FundPrice
304.8708,2023-11-09,GBP,FundPrice
