asOfDate,price,currencyCode,__typename
2009-06-23,100.0,GBP,FundPrice
2009-06-24,101.3876,GBP,FundPrice
2009-06-25,103.8133,GBP,FundPrice
2009-06-26,104.0482,GBP,FundPrice
2009-06-27,104.0482,GBP,FundPrice
2009-06-28,104.0482,GBP,FundPrice
2009-06-29,104.1777,GBP,FundPrice
2009-06-30,104.2831,GBP,FundPrice
2009-07-01,105.8112,GBP,FundPrice
2009-07-02,105.491,GBP,FundPrice
2009-07-03,105.491,GBP,FundPrice
2009-07-04,105.491,GBP,FundPrice
2009-07-05,105.491,GBP,FundPrice
2009-07-06,104.6245,GBP,FundPrice
2009-07-07,104.6456,GBP,FundPrice
2009-07-08,103.756,GBP,FundPrice
2009-07-09,103.1767,GBP,FundPrice
2009-07-10,102.5231,GBP,FundPrice
2009-07-11,102.5231,GBP,FundPrice
2009-07-12,102.5231,GBP,FundPrice
2009-07-13,101.4217,GBP,FundPrice
2009-07-14,102.6727,GBP,FundPrice
2009-07-15,105.5522,GBP,FundPrice
2009-07-16,106.4147,GBP,FundPrice
2009-07-17,108.3976,GBP,FundPrice
2009-07-18,108.3976,GBP,FundPrice
2009-07-19,108.3976,GBP,FundPrice
2009-07-20,110.7902,GBP,FundPrice
2009-07-21,111.3062,GBP,FundPrice
2009-07-22,110.9418,GBP,FundPrice
2009-07-23,112.4618,GBP,FundPrice
2009-07-24,113.5321,GBP,FundPrice
2009-07-25,113.5321,GBP,FundPrice
2009-07-26,113.5321,GBP,FundPrice
2009-07-27,114.26,GBP,FundPrice
2009-07-28,114.8835,GBP,FundPrice
2009-07-29,113.473,GBP,FundPrice
2009-07-30,114.5243,GBP,FundPrice
2009-07-31,115.2511,GBP,FundPrice
2009-08-01,115.2511,GBP,FundPrice
2009-08-02,115.2511,GBP,FundPrice
2009-08-03,115.2511,GBP,FundPrice
2009-08-04,115.2737,GBP,FundPrice
2009-08-05,114.087,GBP,FundPrice
2009-08-06,115.3383,GBP,FundPrice
2009-08-07,115.8914,GBP,FundPrice
2009-08-08,115.8914,GBP,FundPrice
2009-08-09,115.8914,GBP,FundPrice
2009-08-10,117.1144,GBP,FundPrice
2009-08-11,116.0841,GBP,FundPrice
2009-08-12,115.1379,GBP,FundPrice
2009-08-13,116.835,GBP,FundPrice
2009-08-14,116.9213,GBP,FundPrice
2009-08-15,116.9213,GBP,FundPrice
2009-08-16,116.9213,GBP,FundPrice
2009-08-17,113.8455,GBP,FundPrice
2009-08-18,113.1704,GBP,FundPrice
2009-08-19,113.0089,GBP,FundPrice
2009-08-20,115.0819,GBP,FundPrice
2009-08-21,116.166,GBP,FundPrice
2009-08-22,116.166,GBP,FundPrice
2009-08-23,116.166,GBP,FundPrice
2009-08-24,119.0519,GBP,FundPrice
2009-08-25,118.9194,GBP,FundPrice
2009-08-26,119.1373,GBP,FundPrice
2009-08-27,118.3558,GBP,FundPrice
2009-08-28,118.3329,GBP,FundPrice
2009-08-29,118.3329,GBP,FundPrice
2009-08-30,118.3329,GBP,FundPrice
2009-08-31,116.8754,GBP,FundPrice
2009-09-01,117.7126,GBP,FundPrice
2009-09-02,116.0475,GBP,FundPrice
2009-09-03,116.7621,GBP,FundPrice
2009-09-04,118.4301,GBP,FundPrice
2009-09-05,118.4301,GBP,FundPrice
2009-09-06,118.4301,GBP,FundPrice
2009-09-07,118.4301,GBP,FundPrice
2009-09-08,120.5883,GBP,FundPrice
2009-09-09,120.5445,GBP,FundPrice
2009-09-10,120.716,GBP,FundPrice
2009-09-11,121.5487,GBP,FundPrice
2009-09-12,121.5487,GBP,FundPrice
2009-09-13,121.5487,GBP,FundPrice
2009-09-14,120.8861,GBP,FundPrice
2009-09-15,123.5327,GBP,FundPrice
2009-09-16,125.678,GBP,FundPrice
2009-09-17,126.3137,GBP,FundPrice
2009-09-18,127.9708,GBP,FundPrice
