asOfDate,price,currencyCode,__typename
2009-06-23,100.0,GBP,FundPrice
2009-06-24,99.0963,GBP,FundPrice
2009-06-25,99.9458,GBP,FundPrice
2009-06-26,99.4193,GBP,FundPrice
2009-06-27,99.4193,GBP,FundPrice
2009-06-28,99.4193,GBP,FundPrice
2009-06-29,99.2518,GBP,FundPrice
2009-06-30,99.4915,GBP,FundPrice
2009-07-01,99.661,GBP,FundPrice
2009-07-02,100.3631,GBP,FundPrice
2009-07-03,100.3631,GBP,FundPrice
2009-07-04,100.3631,GBP,FundPrice
2009-07-05,100.3631,GBP,FundPrice
2009-07-06,101.4935,GBP,FundPrice
2009-07-07,101.7633,GBP,FundPrice
2009-07-08,102.5848,GBP,FundPrice
2009-07-09,101.9529,GBP,FundPrice
2009-07-10,102.3551,GBP,FundPrice
2009-07-11,102.3551,GBP,FundPrice
2009-07-12,102.3551,GBP,FundPrice
2009-07-13,102.8526,GBP,FundPrice
2009-07-14,101.6018,GBP,FundPrice
2009-07-15,100.7302,GBP,FundPrice
2009-07-16,100.9318,GBP,FundPrice
2009-07-17,101.3731,GBP,FundPrice
2009-07-18,101.3731,GBP,FundPrice
2009-07-19,101.3731,GBP,FundPrice
2009-07-20,100.8506,GBP,FundPrice
2009-07-21,101.4082,GBP,FundPrice
2009-07-22,101.3831,GBP,FundPrice
2009-07-23,100.4383,GBP,FundPrice
2009-07-24,101.1384,GBP,FundPrice
2009-07-25,101.1384,GBP,FundPrice
2009-07-26,101.1384,GBP,FundPrice
2009-07-27,100.6148,GBP,FundPrice
2009-07-28,101.016,GBP,FundPrice
2009-07-29,101.0682,GBP,FundPrice
2009-07-30,100.6369,GBP,FundPrice
2009-07-31,100.9669,GBP,FundPrice
2009-08-01,100.9669,GBP,FundPrice
2009-08-02,100.9669,GBP,FundPrice
2009-08-03,100.9669,GBP,FundPrice
2009-08-04,99.3437,GBP,FundPrice
2009-08-05,98.983,GBP,FundPrice
2009-08-06,99.8107,GBP,FundPrice
2009-08-07,99.5051,GBP,FundPrice
2009-08-08,99.5051,GBP,FundPrice
2009-08-09,99.5051,GBP,FundPrice
2009-08-10,100.4734,GBP,FundPrice
2009-08-11,100.9712,GBP,FundPrice
2009-08-12,100.9283,GBP,FundPrice
2009-08-13,101.2335,GBP,FundPrice
2009-08-14,101.8914,GBP,FundPrice
2009-08-15,101.8914,GBP,FundPrice
2009-08-16,101.8914,GBP,FundPrice
2009-08-17,102.9724,GBP,FundPrice
2009-08-18,101.6425,GBP,FundPrice
2009-08-19,102.3985,GBP,FundPrice
2009-08-20,102.4897,GBP,FundPrice
2009-08-21,102.2983,GBP,FundPrice
2009-08-22,102.2983,GBP,FundPrice
2009-08-23,102.2983,GBP,FundPrice
2009-08-24,103.0065,GBP,FundPrice
2009-08-25,103.529,GBP,FundPrice
2009-08-26,104.3024,GBP,FundPrice
2009-08-27,104.6664,GBP,FundPrice
2009-08-28,104.27,GBP,FundPrice
2009-08-29,104.27,GBP,FundPrice
2009-08-30,104.27,GBP,FundPrice
2009-08-31,104.5116,GBP,FundPrice
2009-09-01,104.8285,GBP,FundPrice
2009-09-02,104.7698,GBP,FundPrice
2009-09-03,104.2027,GBP,FundPrice
2009-09-04,103.9643,GBP,FundPrice
2009-09-05,103.9643,GBP,FundPrice
2009-09-06,103.9643,GBP,FundPrice
2009-09-07,103.9643,GBP,FundPrice
2009-09-08,103.5237,GBP,FundPrice
2009-09-09,103.6684,GBP,FundPrice
2009-09-10,103.3214,GBP,FundPrice
2009-09-11,103.7216,GBP,FundPrice
2009-09-12,103.7216,GBP,FundPrice
2009-09-13,103.7216,GBP,FundPrice
2009-09-14,104.1399,GBP,FundPrice
2009-09-15,104.9912,GBP,FundPrice
2009-09-16,104.812,GBP,FundPrice
2009-09-17,104.8226,GBP,FundPrice
2009-09-18,106.0975,GBP,FundPrice
2009-09-19,106.0975,GBP,FundPrice
2009-09-20,106.0975,GBP,FundPrice
2009-09-21,106.3929,GBP,FundPrice
2009-09-22,105.8572,GBP,FundPrice
2009-09-23,105.6123,GBP,FundPrice
2009-09-24,107.8737,GBP,FundPrice
2009-09-25,109.0319,GBP,FundPrice
2009-09-26,109.0319,GBP,FundPrice
2009-09-27,109.0319,GBP,FundPrice
2009-09-28,109.5137,GBP,FundPrice
2009-09-29,108.8163,GBP,FundPrice
2009-09-30,108.5956,GBP,FundPrice
2009-10-01,108.6923,GBP,FundPrice
2009-10-02,109.5189,GBP,FundPrice
2009-10-03,109.5189,GBP,FundPrice
2009-10-04,109.5189,GBP,FundPrice
2009-10-05,109.2855,GBP,FundPrice
2009-10-06,109.8526,GBP,FundPrice
2009-10-07,109.905,GBP,FundPrice
2009-10-08,109.0166,GBP,FundPrice
2009-10-09,109.461,GBP,FundPrice
2009-10-10,109.461,GBP,FundPrice
2009-10-11,109.461,GBP,FundPrice
2009-10-12,110.5531,GBP,FundPrice
2009-10-13,110.3603,GBP,FundPrice
2009-10-14,109.7272,GBP,FundPrice
2009-10-15,107.4004,GBP,FundPrice
2009-10-16,106.6707,GBP,FundPrice
2009-10-17,106.6707,GBP,FundPrice
2009-10-18,106.6707,GBP,FundPrice
2009-10-19,106.7144,GBP,FundPrice
2009-10-20,106.4855,GBP,FundPrice
2009-10-21,105.2722,GBP,FundPrice
2009-10-22,105.4478,GBP,FundPrice
2009-10-23,106.6746,GBP,FundPrice
2009-10-24,106.6746,GBP,FundPrice
2009-10-25,106.6746,GBP,FundPrice
2009-10-26,106.6746,GBP,FundPrice
2009-10-27,106.3821,GBP,FundPrice
2009-10-28,106.2838,GBP,FundPrice
2009-10-29,105.0666,GBP,FundPrice
2009-10-30,105.8352,GBP,FundPrice
2009-10-31,105.8352,GBP,FundPrice
2009-11-01,105.8352,GBP,FundPrice
2009-11-02,106.6194,GBP,FundPrice
2009-11-03,106.107,GBP,FundPrice
2009-11-04,105.1092,GBP,FundPrice
2009-11-05,105.0969,GBP,FundPrice
2009-11-06,105.2195,GBP,FundPrice
2009-11-07,105.2195,GBP,FundPrice
2009-11-08,105.2195,GBP,FundPrice
2009-11-09,104.9155,GBP,FundPrice
2009-11-10,105.1022,GBP,FundPrice
2009-11-11,106.1421,GBP,FundPrice
2009-11-12,106.0094,GBP,FundPrice
2009-11-13,105.4618,GBP,FundPrice
2009-11-14,105.4618,GBP,FundPrice
2009-11-15,105.4618,GBP,FundPrice
2009-11-16,105.4127,GBP,FundPrice
2009-11-17,105.0799,GBP,FundPrice
2009-11-18,105.593,GBP,FundPrice
2009-11-19,106.2826,GBP,FundPrice
2009-11-20,106.8249,GBP,FundPrice
2009-11-21,106.8249,GBP,FundPrice
2009-11-22,106.8249,GBP,FundPrice
2009-11-23,106.5701,GBP,FundPrice
2009-11-24,106.9415,GBP,FundPrice
2009-11-25,107.0044,GBP,FundPrice
2009-11-26,107.0044,GBP,FundPrice
2009-11-27,108.2046,GBP,FundPrice
2009-11-28,108.2046,GBP,FundPrice
2009-11-29,108.2046,GBP,FundPrice
2009-11-30,109.0488,GBP,FundPrice
2009-12-01,107.8102,GBP,FundPrice
2009-12-02,107.3752,GBP,FundPrice
2009-12-03,107.4984,GBP,FundPrice
2009-12-04,106.6755,GBP,FundPrice
2009-12-05,106.6755,GBP,FundPrice
2009-12-06,106.6755,GBP,FundPrice
2009-12-07,107.4034,GBP,FundPrice
2009-12-08,108.3469,GBP,FundPrice
2009-12-09,108.9689,GBP,FundPrice
2009-12-10,108.4357,GBP,FundPrice
2009-12-11,107.927,GBP,FundPrice
2009-12-12,107.927,GBP,FundPrice
2009-12-13,107.927,GBP,FundPrice
2009-12-14,108.0792,GBP,FundPrice
2009-12-15,107.4447,GBP,FundPrice
2009-12-16,106.8099,GBP,FundPrice
2009-12-17,108.0792,GBP,FundPrice
2009-12-18,108.0629,GBP,FundPrice
2009-12-19,108.0629,GBP,FundPrice
2009-12-20,108.0629,GBP,FundPrice
2009-12-21,107.8863,GBP,FundPrice
2009-12-22,108.1437,GBP,FundPrice
2009-12-23,108.1758,GBP,FundPrice
2009-12-24,108.323,GBP,FundPrice
2009-12-25,108.323,GBP,FundPrice
2009-12-26,108.323,GBP,FundPrice
2009-12-27,108.323,GBP,FundPrice
2009-12-28,108.323,GBP,FundPrice
2009-12-29,108.323,GBP,FundPrice
2009-12-30,107.423,GBP,FundPrice
2009-12-31,106.1704,GBP,FundPrice
2010-01-01,106.1704,GBP,FundPrice
2010-01-02,106.1704,GBP,FundPrice
2010-01-03,106.1704,GBP,FundPrice
2010-01-04,106.9037,GBP,FundPrice
2010-01-05,107.7512,GBP,FundPrice
2010-01-06,107.5618,GBP,FundPrice
2010-01-07,107.7578,GBP,FundPrice
2010-01-08,107.7162,GBP,FundPrice
2010-01-09,107.7162,GBP,FundPrice
2010-01-10,107.7162,GBP,FundPrice
2010-01-11,107.2777,GBP,FundPrice
2010-01-12,107.5902,GBP,FundPrice
2010-01-13,106.8818,GBP,FundPrice
2010-01-14,106.6396,GBP,FundPrice
2010-01-15,106.9873,GBP,FundPrice
2010-01-16,106.9873,GBP,FundPrice
2010-01-17,106.9873,GBP,FundPrice
2010-01-18,106.9873,GBP,FundPrice
2010-01-19,105.9259,GBP,FundPrice
2010-01-20,106.138,GBP,FundPrice
2010-01-21,106.7196,GBP,FundPrice
2010-01-22,107.4313,GBP,FundPrice
2010-01-23,107.4313,GBP,FundPrice
2010-01-24,107.4313,GBP,FundPrice
2010-01-25,106.9454,GBP,FundPrice
2010-01-26,107.2887,GBP,FundPrice
2010-01-27,106.9123,GBP,FundPrice
2010-01-28,106.8864,GBP,FundPrice
2010-01-29,107.4243,GBP,FundPrice
2010-01-30,107.4243,GBP,FundPrice
2010-01-31,107.4243,GBP,FundPrice
2010-02-01,108.1246,GBP,FundPrice
2010-02-02,107.9588,GBP,FundPrice
2010-02-03,107.8323,GBP,FundPrice
2010-02-04,108.795,GBP,FundPrice
2010-02-05,109.7422,GBP,FundPrice
2010-02-06,109.7422,GBP,FundPrice
2010-02-07,109.7422,GBP,FundPrice
2010-02-08,109.7808,GBP,FundPrice
2010-02-09,110.0206,GBP,FundPrice
2010-02-10,109.8725,GBP,FundPrice
2010-02-11,109.5024,GBP,FundPrice
2010-02-12,109.3459,GBP,FundPrice
2010-02-13,109.3459,GBP,FundPrice
2010-02-14,109.3459,GBP,FundPrice
2010-02-15,109.3459,GBP,FundPrice
2010-02-16,109.3879,GBP,FundPrice
2010-02-17,108.7455,GBP,FundPrice
2010-02-18,109.0735,GBP,FundPrice
2010-02-19,109.9561,GBP,FundPrice
2010-02-20,109.9561,GBP,FundPrice
2010-02-21,109.9561,GBP,FundPrice
2010-02-22,109.9247,GBP,FundPrice
2010-02-23,110.6968,GBP,FundPrice
2010-02-24,110.9091,GBP,FundPrice
2010-02-25,112.3577,GBP,FundPrice
2010-02-26,113.0514,GBP,FundPrice
2010-02-27,113.0514,GBP,FundPrice
2010-02-28,113.0514,GBP,FundPrice
2010-03-01,114.5668,GBP,FundPrice
2010-03-02,115.1174,GBP,FundPrice
2010-03-03,114.5585,GBP,FundPrice
2010-03-04,114.4135,GBP,FundPrice
2010-03-05,113.5783,GBP,FundPrice
2010-03-06,113.5783,GBP,FundPrice
2010-03-07,113.5783,GBP,FundPrice
2010-03-08,113.9469,GBP,FundPrice
2010-03-09,114.6537,GBP,FundPrice
2010-03-10,114.747,GBP,FundPrice
2010-03-11,114.1705,GBP,FundPrice
2010-03-12,113.4904,GBP,FundPrice
2010-03-13,113.4904,GBP,FundPrice
2010-03-14,113.4904,GBP,FundPrice
