asOfDate,price,currencyCode,__typename
2021-12-08,100.06,GBP,FundPrice
2021-12-09,99.5252,GBP,FundPrice
2021-12-10,99.7644,GBP,FundPrice
2021-12-11,99.7644,GBP,FundPrice
2021-12-12,99.7644,GBP,FundPrice
2021-12-13,99.0969,GBP,FundPrice
2021-12-14,98.3312,GBP,FundPrice
2021-12-15,99.2122,GBP,FundPrice
2021-12-16,98.9988,GBP,FundPrice
2021-12-17,98.7126,GBP,FundPrice
2021-12-18,98.7126,GBP,FundPrice
2021-12-19,98.7126,GBP,FundPrice
2021-12-20,98.008,GBP,FundPrice
2021-12-21,99.0084,GBP,FundPrice
2021-12-22,99.3015,GBP,FundPrice
2021-12-23,99.4425,GBP,FundPrice
2021-12-24,99.4029,GBP,FundPrice
2021-12-25,99.4029,GBP,FundPrice
2021-12-26,99.4029,GBP,FundPrice
2021-12-27,99.4029,GBP,FundPrice
2021-12-28,99.4029,GBP,FundPrice
2021-12-29,100.3908,GBP,FundPrice
2021-12-30,100.0656,GBP,FundPrice
2021-12-31,99.7015,GBP,FundPrice
2022-01-01,99.7015,GBP,FundPrice
2022-01-02,99.7015,GBP,FundPrice
2022-01-03,99.7015,GBP,FundPrice
2022-01-04,100.4505,GBP,FundPrice
2022-01-05,99.634,GBP,FundPrice
2022-01-06,99.3622,GBP,FundPrice
2022-01-07,98.9965,GBP,FundPrice
2022-01-08,98.9965,GBP,FundPrice
2022-01-09,98.9965,GBP,FundPrice
2022-01-10,98.6876,GBP,FundPrice
2022-01-11,98.8934,GBP,FundPrice
2022-01-12,99.2216,GBP,FundPrice
2022-01-13,98.7626,GBP,FundPrice
2022-01-14,98.815,GBP,FundPrice
2022-01-15,98.815,GBP,FundPrice
2022-01-16,98.815,GBP,FundPrice
2022-01-17,99.1154,GBP,FundPrice
2022-01-18,98.541,GBP,FundPrice
2022-01-19,97.6839,GBP,FundPrice
2022-01-20,97.5411,GBP,FundPrice
2022-01-21,96.9387,GBP,FundPrice
2022-01-22,96.9387,GBP,FundPrice
2022-01-23,96.9387,GBP,FundPrice
2022-01-24,96.3891,GBP,FundPrice
2022-01-25,95.471,GBP,FundPrice
2022-01-26,95.8154,GBP,FundPrice
2022-01-27,96.3089,GBP,FundPrice
2022-01-28,96.8969,GBP,FundPrice
2022-01-29,96.8969,GBP,FundPrice
2022-01-30,96.8969,GBP,FundPrice
2022-01-31,97.7537,GBP,FundPrice
2022-02-01,97.557,GBP,FundPrice
2022-02-02,97.9417,GBP,FundPrice
2022-02-03,96.6229,GBP,FundPrice
2022-02-04,96.7831,GBP,FundPrice
2022-02-05,96.7831,GBP,FundPrice
2022-02-06,96.7831,GBP,FundPrice
2022-02-07,96.7172,GBP,FundPrice
2022-02-08,97.1501,GBP,FundPrice
2022-02-09,98.5935,GBP,FundPrice
2022-02-10,97.086,GBP,FundPrice
2022-02-11,96.1188,GBP,FundPrice
2022-02-12,96.1188,GBP,FundPrice
2022-02-13,96.1188,GBP,FundPrice
2022-02-14,95.6389,GBP,FundPrice
2022-02-15,96.2133,GBP,FundPrice
2022-02-16,95.9495,GBP,FundPrice
2022-02-17,94.6155,GBP,FundPrice
2022-02-18,94.3254,GBP,FundPrice
2022-02-19,94.3254,GBP,FundPrice
2022-02-20,94.3254,GBP,FundPrice
2022-02-21,93.7622,GBP,FundPrice
2022-02-22,93.3146,GBP,FundPrice
2022-02-23,92.7257,GBP,FundPrice
2022-02-24,93.1011,GBP,FundPrice
2022-02-25,94.3568,GBP,FundPrice
2022-02-26,94.3568,GBP,FundPrice
2022-02-27,94.3568,GBP,FundPrice
2022-02-28,94.0829,GBP,FundPrice
2022-03-01,92.7784,GBP,FundPrice
2022-03-02,93.5628,GBP,FundPrice
2022-03-03,93.162,GBP,FundPrice
2022-03-04,92.3327,GBP,FundPrice
2022-03-05,92.3327,GBP,FundPrice
2022-03-06,92.3327,GBP,FundPrice
2022-03-07,90.87,GBP,FundPrice
2022-03-08,90.0798,GBP,FundPrice
2022-03-09,92.5022,GBP,FundPrice
2022-03-10,92.2607,GBP,FundPrice
2022-03-11,92.196,GBP,FundPrice
2022-03-12,92.196,GBP,FundPrice
2022-03-13,92.196,GBP,FundPrice
2022-03-14,92.8998,GBP,FundPrice
2022-03-15,93.6367,GBP,FundPrice
2022-03-16,94.9427,GBP,FundPrice
2022-03-17,95.9437,GBP,FundPrice
2022-03-18,96.14,GBP,FundPrice
2022-03-19,96.14,GBP,FundPrice
2022-03-20,96.14,GBP,FundPrice
2022-03-21,95.7251,GBP,FundPrice
2022-03-22,96.0421,GBP,FundPrice
2022-03-23,95.4387,GBP,FundPrice
2022-03-24,95.9087,GBP,FundPrice
2022-03-25,96.0191,GBP,FundPrice
2022-03-26,96.0191,GBP,FundPrice
2022-03-27,96.0191,GBP,FundPrice
2022-03-28,96.9407,GBP,FundPrice
2022-03-29,98.3694,GBP,FundPrice
2022-03-30,98.2322,GBP,FundPrice
2022-03-31,97.0597,GBP,FundPrice
2022-04-01,97.6892,GBP,FundPrice
2022-04-02,97.6892,GBP,FundPrice
2022-04-03,97.6892,GBP,FundPrice
2022-04-04,97.7478,GBP,FundPrice
2022-04-05,97.7796,GBP,FundPrice
2022-04-06,97.361,GBP,FundPrice
2022-04-07,97.5412,GBP,FundPrice
2022-04-08,98.279,GBP,FundPrice
2022-04-09,98.279,GBP,FundPrice
2022-04-10,98.279,GBP,FundPrice
2022-04-11,97.0364,GBP,FundPrice
2022-04-12,96.2196,GBP,FundPrice
2022-04-13,96.4872,GBP,FundPrice
2022-04-14,95.9521,GBP,FundPrice
2022-04-15,95.9521,GBP,FundPrice
2022-04-16,95.9521,GBP,FundPrice
2022-04-17,95.9521,GBP,FundPrice
2022-04-18,95.9521,GBP,FundPrice
2022-04-19,96.2876,GBP,FundPrice
2022-04-20,97.0671,GBP,FundPrice
2022-04-21,96.6767,GBP,FundPrice
2022-04-22,95.6819,GBP,FundPrice
2022-04-23,95.6819,GBP,FundPrice
2022-04-24,95.6819,GBP,FundPrice
2022-04-25,96.2296,GBP,FundPrice
2022-04-26,95.4895,GBP,FundPrice
2022-04-27,96.5146,GBP,FundPrice
2022-04-28,98.3901,GBP,FundPrice
2022-04-29,96.2267,GBP,FundPrice
2022-04-30,96.2267,GBP,FundPrice
2022-05-01,96.2267,GBP,FundPrice
2022-05-02,96.2267,GBP,FundPrice
2022-05-03,96.4338,GBP,FundPrice
2022-05-04,97.7303,GBP,FundPrice
2022-05-05,96.9169,GBP,FundPrice
2022-05-06,95.7917,GBP,FundPrice
2022-05-07,95.7917,GBP,FundPrice
2022-05-08,95.7917,GBP,FundPrice
2022-05-09,94.2701,GBP,FundPrice
2022-05-10,93.9664,GBP,FundPrice
2022-05-11,93.6669,GBP,FundPrice
2022-05-12,93.977,GBP,FundPrice
2022-05-13,95.8155,GBP,FundPrice
2022-05-14,95.8155,GBP,FundPrice
2022-05-15,95.8155,GBP,FundPrice
2022-05-16,95.877,GBP,FundPrice
2022-05-17,95.802,GBP,FundPrice
2022-05-18,94.5349,GBP,FundPrice
2022-05-19,92.9202,GBP,FundPrice
2022-05-20,93.6794,GBP,FundPrice
2022-05-21,93.6794,GBP,FundPrice
2022-05-22,93.6794,GBP,FundPrice
2022-05-23,94.2952,GBP,FundPrice
2022-05-24,94.51,GBP,FundPrice
2022-05-25,94.5981,GBP,FundPrice
2022-05-26,95.5612,GBP,FundPrice
2022-05-27,96.685,GBP,FundPrice
2022-05-28,96.685,GBP,FundPrice
2022-05-29,96.685,GBP,FundPrice
2022-05-30,97.2193,GBP,FundPrice
2022-05-31,97.19,GBP,FundPrice
2022-06-01,96.8495,GBP,FundPrice
2022-06-02,96.8495,GBP,FundPrice
2022-06-03,96.8495,GBP,FundPrice
2022-06-04,96.8495,GBP,FundPrice
2022-06-05,96.8495,GBP,FundPrice
2022-06-06,96.84,GBP,FundPrice
2022-06-07,96.832,GBP,FundPrice
2022-06-08,96.5221,GBP,FundPrice
2022-06-09,95.3366,GBP,FundPrice
2022-06-10,94.2777,GBP,FundPrice
2022-06-11,94.2777,GBP,FundPrice
2022-06-12,94.2777,GBP,FundPrice
2022-06-13,93.0837,GBP,FundPrice
2022-06-14,92.9111,GBP,FundPrice
2022-06-15,93.4193,GBP,FundPrice
2022-06-16,90.3953,GBP,FundPrice
2022-06-17,90.8947,GBP,FundPrice
2022-06-18,90.8947,GBP,FundPrice
2022-06-19,90.8947,GBP,FundPrice
2022-06-20,91.0004,GBP,FundPrice
2022-06-21,91.9775,GBP,FundPrice
2022-06-22,91.4506,GBP,FundPrice
2022-06-23,91.4552,GBP,FundPrice
2022-06-24,93.6192,GBP,FundPrice
2022-06-25,93.6192,GBP,FundPrice
2022-06-26,93.6192,GBP,FundPrice
2022-06-27,94.0106,GBP,FundPrice
2022-06-28,93.6872,GBP,FundPrice
2022-06-29,93.8434,GBP,FundPrice
2022-06-30,92.7388,GBP,FundPrice
2022-07-01,94.2425,GBP,FundPrice
2022-07-02,94.2425,GBP,FundPrice
2022-07-03,94.2425,GBP,FundPrice
2022-07-04,93.6523,GBP,FundPrice
2022-07-05,94.4803,GBP,FundPrice
2022-07-06,95.0014,GBP,FundPrice
2022-07-07,95.3409,GBP,FundPrice
2022-07-08,95.2517,GBP,FundPrice
2022-07-09,95.2517,GBP,FundPrice
2022-07-10,95.2517,GBP,FundPrice
2022-07-11,95.7726,GBP,FundPrice
2022-07-12,95.4677,GBP,FundPrice
2022-07-13,94.8395,GBP,FundPrice
2022-07-14,95.0658,GBP,FundPrice
2022-07-15,96.2867,GBP,FundPrice
2022-07-16,96.2867,GBP,FundPrice
2022-07-17,96.2867,GBP,FundPrice
2022-07-18,95.0799,GBP,FundPrice
2022-07-19,96.8989,GBP,FundPrice
2022-07-20,97.2462,GBP,FundPrice
2022-07-21,97.9798,GBP,FundPrice
2022-07-22,97.7789,GBP,FundPrice
2022-07-23,97.7789,GBP,FundPrice
