price,asOfDate,currencyCode,__typename
176.7075,2024-10-11,GBP,FundPrice
176.4978,2024-10-10,GBP,FundPrice
176.2826,2024-10-09,GBP,FundPrice
175.0196,2024-10-08,GBP,FundPrice
178.0336,2024-10-07,GBP,FundPrice
176.6841,2024-10-04,GBP,FundPrice
175.7054,2024-10-03,GBP,FundPrice
177.0816,2024-10-02,GBP,FundPrice
177.5904,2024-10-01,GBP,FundPrice
177.3635,2024-09-30,GBP,FundPrice
179.1579,2024-09-27,GBP,FundPrice
177.2746,2024-09-26,GBP,FundPrice
176.2455,2024-09-25,GBP,FundPrice
177.511,2024-09-24,GBP,FundPrice
176.2773,2024-09-23,GBP,FundPrice
175.7543,2024-09-20,GBP,FundPrice
177.9834,2024-09-19,GBP,FundPrice
177.0275,2024-09-18,GBP,FundPrice
178.1117,2024-09-17,GBP,FundPrice
177.2555,2024-09-16,GBP,FundPrice
176.1313,2024-09-13,GBP,FundPrice
175.8343,2024-09-12,GBP,FundPrice
174.7032,2024-09-11,GBP,FundPrice
174.7062,2024-09-10,GBP,FundPrice
175.9582,2024-09-09,GBP,FundPrice
174.287,2024-09-06,GBP,FundPrice
176.3768,2024-09-05,GBP,FundPrice
174.4473,2024-09-04,GBP,FundPrice
174.6846,2024-09-03,GBP,FundPrice
177.2085,2024-09-02,GBP,FundPrice
177.2955,2024-08-30,GBP,FundPrice
177.0515,2024-08-29,GBP,FundPrice
176.7081,2024-08-28,GBP,FundPrice
177.307,2024-08-27,GBP,FundPrice
176.1002,2024-08-23,GBP,FundPrice
174.8851,2024-08-22,GBP,FundPrice
175.9539,2024-08-21,GBP,FundPrice
174.7028,2024-08-20,GBP,FundPrice
177.4437,2024-08-19,GBP,FundPrice
176.0508,2024-08-16,GBP,FundPrice
176.5596,2024-08-15,GBP,FundPrice
174.138,2024-08-14,GBP,FundPrice
173.8897,2024-08-13,GBP,FundPrice
173.4797,2024-08-12,GBP,FundPrice
171.6916,2024-08-09,GBP,FundPrice
172.0733,2024-08-08,GBP,FundPrice
172.0637,2024-08-07,GBP,FundPrice
169.1772,2024-08-06,GBP,FundPrice
168.6909,2024-08-05,GBP,FundPrice
172.8092,2024-08-02,GBP,FundPrice
174.5042,2024-08-01,GBP,FundPrice
176.9734,2024-07-31,GBP,FundPrice
176.4027,2024-07-30,GBP,FundPrice
176.6961,2024-07-29,GBP,FundPrice
176.5546,2024-07-26,GBP,FundPrice
174.0536,2024-07-25,GBP,FundPrice
172.6248,2024-07-24,GBP,FundPrice
172.6637,2024-07-23,GBP,FundPrice
173.6492,2024-07-22,GBP,FundPrice
172.0827,2024-07-19,GBP,FundPrice
173.2775,2024-07-18,GBP,FundPrice
172.9809,2024-07-17,GBP,FundPrice
172.2549,2024-07-16,GBP,FundPrice
172.9397,2024-07-15,GBP,FundPrice
174.4321,2024-07-12,GBP,FundPrice
174.3068,2024-07-11,GBP,FundPrice
173.1666,2024-07-10,GBP,FundPrice
171.8076,2024-07-09,GBP,FundPrice
172.2044,2024-07-08,GBP,FundPrice
172.479,2024-07-05,GBP,FundPrice
173.1382,2024-07-04,GBP,FundPrice
170.5947,2024-07-03,GBP,FundPrice
168.4452,2024-07-02,GBP,FundPrice
170.1442,2024-07-01,GBP,FundPrice
169.3166,2024-06-28,GBP,FundPrice
168.8554,2024-06-27,GBP,FundPrice
170.054,2024-06-26,GBP,FundPrice
169.7959,2024-06-25,GBP,FundPrice
171.5714,2024-06-24,GBP,FundPrice
170.5079,2024-06-21,GBP,FundPrice
171.4143,2024-06-20,GBP,FundPrice
169.7236,2024-06-19,GBP,FundPrice
168.396,2024-06-18,GBP,FundPrice
167.6763,2024-06-17,GBP,FundPrice
166.9385,2024-06-14,GBP,FundPrice
167.0711,2024-06-13,GBP,FundPrice
169.0716,2024-06-12,GBP,FundPrice
167.3824,2024-06-11,GBP,FundPrice
170.1983,2024-06-10,GBP,FundPrice
170.7283,2024-06-07,GBP,FundPrice
171.0156,2024-06-06,GBP,FundPrice
170.9186,2024-06-05,GBP,FundPrice
171.5606,2024-06-04,GBP,FundPrice
172.7199,2024-06-03,GBP,FundPrice
173.1156,2024-05-31,GBP,FundPrice
172.0625,2024-05-30,GBP,FundPrice
169.8979,2024-05-29,GBP,FundPrice
171.864,2024-05-28,GBP,FundPrice
173.2982,2024-05-24,GBP,FundPrice
173.8063,2024-05-23,GBP,FundPrice
175.5167,2024-05-22,GBP,FundPrice
176.5968,2024-05-21,GBP,FundPrice
177.0289,2024-05-20,GBP,FundPrice
176.1217,2024-05-17,GBP,FundPrice
175.9337,2024-05-16,GBP,FundPrice
174.7977,2024-05-15,GBP,FundPrice
174.9963,2024-05-14,GBP,FundPrice
173.4873,2024-05-13,GBP,FundPrice
174.5772,2024-05-10,GBP,FundPrice
173.1288,2024-05-09,GBP,FundPrice
172.0612,2024-05-08,GBP,FundPrice
171.6532,2024-05-07,GBP,FundPrice
169.1718,2024-05-03,GBP,FundPrice
168.3419,2024-05-02,GBP,FundPrice
167.3203,2024-05-01,GBP,FundPrice
170.8192,2024-04-30,GBP,FundPrice
171.4435,2024-04-29,GBP,FundPrice
170.2212,2024-04-26,GBP,FundPrice
169.5943,2024-04-25,GBP,FundPrice
167.5621,2024-04-24,GBP,FundPrice
168.3125,2024-04-23,GBP,FundPrice
167.349,2024-04-22,GBP,FundPrice
164.9808,2024-04-19,GBP,FundPrice
165.3058,2024-04-18,GBP,FundPrice
163.424,2024-04-17,GBP,FundPrice
163.1527,2024-04-16,GBP,FundPrice
166.6875,2024-04-15,GBP,FundPrice
167.3828,2024-04-12,GBP,FundPrice
164.4825,2024-04-11,GBP,FundPrice
166.2917,2024-04-10,GBP,FundPrice
166.1984,2024-04-09,GBP,FundPrice
166.2952,2024-04-08,GBP,FundPrice
164.1396,2024-04-05,GBP,FundPrice
166.9345,2024-04-04,GBP,FundPrice
165.8652,2024-04-03,GBP,FundPrice
165.4716,2024-04-02,GBP,FundPrice
165.091,2024-03-28,GBP,FundPrice
163.5147,2024-03-27,GBP,FundPrice
163.0294,2024-03-26,GBP,FundPrice
163.6967,2024-03-25,GBP,FundPrice
162.9808,2024-03-22,GBP,FundPrice
162.219,2024-03-21,GBP,FundPrice
159.4934,2024-03-20,GBP,FundPrice
159.1618,2024-03-19,GBP,FundPrice
158.9091,2024-03-18,GBP,FundPrice
159.0954,2024-03-15,GBP,FundPrice
158.6957,2024-03-14,GBP,FundPrice
159.2767,2024-03-13,GBP,FundPrice
159.5247,2024-03-12,GBP,FundPrice
158.4278,2024-03-11,GBP,FundPrice
157.7869,2024-03-08,GBP,FundPrice
158.2764,2024-03-07,GBP,FundPrice
157.6756,2024-03-06,GBP,FundPrice
156.7395,2024-03-05,GBP,FundPrice
155.3615,2024-03-04,GBP,FundPrice
156.2919,2024-03-01,GBP,FundPrice
154.603,2024-02-29,GBP,FundPrice
153.9239,2024-02-28,GBP,FundPrice
154.5901,2024-02-27,GBP,FundPrice
154.3119,2024-02-26,GBP,FundPrice
155.3987,2024-02-23,GBP,FundPrice
155.27,2024-02-22,GBP,FundPrice
155.0401,2024-02-21,GBP,FundPrice
155.9088,2024-02-20,GBP,FundPrice
155.6666,2024-02-19,GBP,FundPrice
155.8552,2024-02-16,GBP,FundPrice
153.8628,2024-02-15,GBP,FundPrice
152.9389,2024-02-14,GBP,FundPrice
151.8866,2024-02-13,GBP,FundPrice
153.3977,2024-02-12,GBP,FundPrice
152.6626,2024-02-09,GBP,FundPrice
153.5925,2024-02-08,GBP,FundPrice
153.8046,2024-02-07,GBP,FundPrice
155.3187,2024-02-06,GBP,FundPrice
154.3207,2024-02-05,GBP,FundPrice
155.1228,2024-02-02,GBP,FundPrice
155.1809,2024-02-01,GBP,FundPrice
156.6644,2024-01-31,GBP,FundPrice
156.3536,2024-01-30,GBP,FundPrice
156.1507,2024-01-29,GBP,FundPrice
156.5951,2024-01-26,GBP,FundPrice
154.5026,2024-01-25,GBP,FundPrice
154.9009,2024-01-24,GBP,FundPrice
153.7279,2024-01-23,GBP,FundPrice
154.1108,2024-01-22,GBP,FundPrice
152.6416,2024-01-19,GBP,FundPrice
152.7459,2024-01-18,GBP,FundPrice
152.7715,2024-01-17,GBP,FundPrice
155.4893,2024-01-16,GBP,FundPrice
156.312,2024-01-15,GBP,FundPrice
156.6993,2024-01-12,GBP,FundPrice
155.724,2024-01-11,GBP,FundPrice
158.757,2024-01-10,GBP,FundPrice
159.9694,2024-01-09,GBP,FundPrice
160.6282,2024-01-08,GBP,FundPrice
160.3769,2024-01-05,GBP,FundPrice
160.1765,2024-01-04,GBP,FundPrice
159.8265,2024-01-03,GBP,FundPrice
160.773,2024-01-02,GBP,FundPrice
159.9633,2023-12-29,GBP,FundPrice
160.6979,2023-12-28,GBP,FundPrice
160.858,2023-12-27,GBP,FundPrice
159.7007,2023-12-22,GBP,FundPrice
160.0186,2023-12-21,GBP,FundPrice
160.2082,2023-12-20,GBP,FundPrice
158.5171,2023-12-19,GBP,FundPrice
157.934,2023-12-18,GBP,FundPrice
157.6028,2023-12-15,GBP,FundPrice
158.7469,2023-12-14,GBP,FundPrice
154.5162,2023-12-13,GBP,FundPrice
155.4669,2023-12-12,GBP,FundPrice
156.4464,2023-12-11,GBP,FundPrice
156.2437,2023-12-08,GBP,FundPrice
156.924,2023-12-07,GBP,FundPrice
156.3964,2023-12-06,GBP,FundPrice
155.4646,2023-12-05,GBP,FundPrice
155.7956,2023-12-04,GBP,FundPrice
157.074,2023-12-01,GBP,FundPrice
155.0663,2023-11-30,GBP,FundPrice
154.8415,2023-11-29,GBP,FundPrice
155.0511,2023-11-28,GBP,FundPrice
154.2593,2023-11-27,GBP,FundPrice
154.5699,2023-11-24,GBP,FundPrice
154.2045,2023-11-23,GBP,FundPrice
154.5533,2023-11-22,GBP,FundPrice
154.1923,2023-11-21,GBP,FundPrice
154.719,2023-11-20,GBP,FundPrice
154.6808,2023-11-17,GBP,FundPrice
152.3306,2023-11-16,GBP,FundPrice
153.8538,2023-11-15,GBP,FundPrice
153.3865,2023-11-14,GBP,FundPrice
151.8438,2023-11-13,GBP,FundPrice
150.5281,2023-11-10,GBP,FundPrice
151.1299,2023-11-09,GBP,FundPrice
149.7876,2023-11-08,GBP,FundPrice
151.2234,2023-11-07,GBP,FundPrice
150.9608,2023-11-06,GBP,FundPrice
152.2438,2023-11-03,GBP,FundPrice
151.5232,2023-11-02,GBP,FundPrice
148.6075,2023-11-01,GBP,FundPrice
152.4947,2023-10-31,GBP,FundPrice
152.7476,2023-10-30,GBP,FundPrice
152.7021,2023-10-27,GBP,FundPrice
153.5955,2023-10-26,GBP,FundPrice
153.1302,2023-10-25,GBP,FundPrice
153.4659,2023-10-24,GBP,FundPrice
153.2725,2023-10-23,GBP,FundPrice
153.1727,2023-10-20,GBP,FundPrice
155.3879,2023-10-19,GBP,FundPrice
158.0835,2023-10-18,GBP,FundPrice
158.9054,2023-10-17,GBP,FundPrice
158.225,2023-10-16,GBP,FundPrice
157.1265,2023-10-13,GBP,FundPrice
158.3648,2023-10-12,GBP,FundPrice
159.0817,2023-10-11,GBP,FundPrice
158.5518,2023-10-10,GBP,FundPrice
155.8155,2023-10-09,GBP,FundPrice
155.1726,2023-10-06,GBP,FundPrice
153.983,2023-10-05,GBP,FundPrice
153.1632,2023-10-04,GBP,FundPrice
155.2374,2023-10-03,GBP,FundPrice
157.0701,2023-10-02,GBP,FundPrice
159.06,2023-09-29,GBP,FundPrice
158.5939,2023-09-28,GBP,FundPrice
159.4017,2023-09-27,GBP,FundPrice
159.629,2023-09-26,GBP,FundPrice
159.1601,2023-09-25,GBP,FundPrice
161.7378,2023-09-22,GBP,FundPrice
161.7944,2023-09-21,GBP,FundPrice
162.0015,2023-09-20,GBP,FundPrice
160.9408,2023-09-19,GBP,FundPrice
159.7319,2023-09-18,GBP,FundPrice
161.2886,2023-09-15,GBP,FundPrice
161.349,2023-09-14,GBP,FundPrice
157.9176,2023-09-13,GBP,FundPrice
156.6968,2023-09-12,GBP,FundPrice
156.7813,2023-09-11,GBP,FundPrice
154.3271,2023-09-08,GBP,FundPrice
154.4589,2023-09-07,GBP,FundPrice
153.8145,2023-09-06,GBP,FundPrice
154.0709,2023-09-05,GBP,FundPrice
155.317,2023-09-04,GBP,FundPrice
