asOfDate,price,currencyCode,__typename
2013-05-21,25.0,USD,FundPrice
2013-05-22,24.8912,USD,FundPrice
2013-05-23,24.3781,USD,FundPrice
2013-05-24,24.2134,USD,FundPrice
2013-05-25,24.2134,USD,FundPrice
2013-05-26,24.2134,USD,FundPrice
2013-05-27,24.1818,USD,FundPrice
2013-05-28,24.1992,USD,FundPrice
2013-05-29,24.1189,USD,FundPrice
2013-05-30,24.0987,USD,FundPrice
2013-05-31,23.9254,USD,FundPrice
2013-06-01,23.9254,USD,FundPrice
2013-06-02,23.9254,USD,FundPrice
2013-06-03,23.9652,USD,FundPrice
2013-06-04,23.9834,USD,FundPrice
2013-06-05,23.5316,USD,FundPrice
2013-06-06,23.3276,USD,FundPrice
2013-06-07,23.0069,USD,FundPrice
2013-06-08,23.0069,USD,FundPrice
2013-06-09,23.0069,USD,FundPrice
2013-06-10,22.9411,USD,FundPrice
2013-06-11,22.7833,USD,FundPrice
2013-06-12,22.7804,USD,FundPrice
2013-06-13,22.6607,USD,FundPrice
2013-06-14,23.0529,USD,FundPrice
2013-06-15,23.0529,USD,FundPrice
2013-06-16,23.0529,USD,FundPrice
2013-06-17,23.1502,USD,FundPrice
2013-06-18,23.0802,USD,FundPrice
2013-06-19,23.1296,USD,FundPrice
2013-06-20,22.1188,USD,FundPrice
2013-06-21,21.9242,USD,FundPrice
2013-06-22,21.9242,USD,FundPrice
2013-06-23,21.9242,USD,FundPrice
2013-06-24,21.6305,USD,FundPrice
2013-06-25,21.5908,USD,FundPrice
2013-06-26,21.9401,USD,FundPrice
2013-06-27,22.2789,USD,FundPrice
2013-06-28,22.3268,USD,FundPrice
2013-06-29,22.3268,USD,FundPrice
2013-06-30,22.3268,USD,FundPrice
2013-07-01,22.2175,USD,FundPrice
2013-07-02,22.43,USD,FundPrice
2013-07-03,21.866,USD,FundPrice
2013-07-04,22.1878,USD,FundPrice
2013-07-05,22.1838,USD,FundPrice
2013-07-06,22.1838,USD,FundPrice
2013-07-07,22.1838,USD,FundPrice
2013-07-08,22.0109,USD,FundPrice
2013-07-09,22.3234,USD,FundPrice
2013-07-10,22.4766,USD,FundPrice
2013-07-11,22.9807,USD,FundPrice
2013-07-12,22.8223,USD,FundPrice
2013-07-13,22.8223,USD,FundPrice
2013-07-14,22.8223,USD,FundPrice
2013-07-15,22.8846,USD,FundPrice
2013-07-16,23.0597,USD,FundPrice
2013-07-17,23.0557,USD,FundPrice
2013-07-18,22.9332,USD,FundPrice
2013-07-19,22.9161,USD,FundPrice
2013-07-20,22.9161,USD,FundPrice
2013-07-21,22.9161,USD,FundPrice
2013-07-22,23.1144,USD,FundPrice
2013-07-23,23.329,USD,FundPrice
2013-07-24,23.4063,USD,FundPrice
2013-07-25,23.3457,USD,FundPrice
2013-07-26,23.4365,USD,FundPrice
2013-07-27,23.4365,USD,FundPrice
2013-07-28,23.4365,USD,FundPrice
2013-07-29,23.3714,USD,FundPrice
2013-07-30,23.2536,USD,FundPrice
2013-07-31,23.0619,USD,FundPrice
2013-08-01,23.1049,USD,FundPrice
2013-08-02,23.2602,USD,FundPrice
2013-08-03,23.2602,USD,FundPrice
2013-08-04,23.2602,USD,FundPrice
2013-08-05,23.263,USD,FundPrice
2013-08-06,23.2519,USD,FundPrice
2013-08-07,22.9224,USD,FundPrice
2013-08-08,23.2431,USD,FundPrice
2013-08-09,23.3503,USD,FundPrice
2013-08-10,23.3503,USD,FundPrice
2013-08-11,23.3503,USD,FundPrice
2013-08-12,23.4872,USD,FundPrice
2013-08-13,23.6131,USD,FundPrice
2013-08-14,23.7009,USD,FundPrice
2013-08-15,23.5906,USD,FundPrice
2013-08-16,23.6387,USD,FundPrice
2013-08-17,23.6387,USD,FundPrice
2013-08-18,23.6387,USD,FundPrice
2013-08-19,23.5419,USD,FundPrice
2013-08-20,23.1498,USD,FundPrice
2013-08-21,23.0408,USD,FundPrice
2013-08-22,22.8972,USD,FundPrice
2013-08-23,23.1247,USD,FundPrice
2013-08-24,23.1247,USD,FundPrice
2013-08-25,23.1247,USD,FundPrice
2013-08-26,23.2767,USD,FundPrice
2013-08-27,23.1191,USD,FundPrice
2013-08-28,22.9123,USD,FundPrice
2013-08-29,23.0925,USD,FundPrice
2013-08-30,23.2418,USD,FundPrice
2013-08-31,23.2418,USD,FundPrice
2013-09-01,23.2418,USD,FundPrice
2013-09-02,23.6059,USD,FundPrice
2013-09-03,23.7879,USD,FundPrice
2013-09-04,23.8457,USD,FundPrice
2013-09-05,23.8286,USD,FundPrice
2013-09-06,23.9635,USD,FundPrice
2013-09-07,23.9635,USD,FundPrice
2013-09-08,23.9635,USD,FundPrice
2013-09-09,24.2441,USD,FundPrice
2013-09-10,24.5336,USD,FundPrice
2013-09-11,24.6426,USD,FundPrice
2013-09-12,24.615,USD,FundPrice
2013-09-13,24.4686,USD,FundPrice
2013-09-14,24.4686,USD,FundPrice
2013-09-15,24.4686,USD,FundPrice
2013-09-16,24.8887,USD,FundPrice
2013-09-17,24.8854,USD,FundPrice
2013-09-18,24.8816,USD,FundPrice
2013-09-19,25.297,USD,FundPrice
2013-09-20,25.1347,USD,FundPrice
2013-09-21,25.1347,USD,FundPrice
2013-09-22,25.1347,USD,FundPrice
2013-09-23,25.1972,USD,FundPrice
2013-09-24,25.062,USD,FundPrice
2013-09-25,24.8716,USD,FundPrice
2013-09-26,24.9129,USD,FundPrice
2013-09-27,24.916,USD,FundPrice
2013-09-28,24.916,USD,FundPrice
2013-09-29,24.916,USD,FundPrice
2013-09-30,24.6248,USD,FundPrice
2013-10-01,24.6815,USD,FundPrice
2013-10-02,24.7248,USD,FundPrice
2013-10-03,24.8151,USD,FundPrice
2013-10-04,24.843,USD,FundPrice
2013-10-05,24.843,USD,FundPrice
