asOfDate,price,currencyCode,__typename
2011-06-23,100.0,GBP,FundPrice
2011-06-24,100.0283,GBP,FundPrice
2011-06-25,100.0283,GBP,FundPrice
2011-06-26,100.0283,GBP,FundPrice
2011-06-27,100.1065,GBP,FundPrice
2011-06-28,100.7454,GBP,FundPrice
2011-06-29,101.7568,GBP,FundPrice
2011-06-30,102.7157,GBP,FundPrice
2011-07-01,103.4725,GBP,FundPrice
2011-07-02,103.4725,GBP,FundPrice
2011-07-03,103.4725,GBP,FundPrice
2011-07-04,103.8043,GBP,FundPrice
2011-07-05,103.6788,GBP,FundPrice
2011-07-06,103.9606,GBP,FundPrice
2011-07-07,104.5592,GBP,FundPrice
2011-07-08,103.8176,GBP,FundPrice
2011-07-09,103.8176,GBP,FundPrice
2011-07-10,103.8176,GBP,FundPrice
2011-07-11,103.0201,GBP,FundPrice
2011-07-12,102.2267,GBP,FundPrice
2011-07-13,102.3135,GBP,FundPrice
2011-07-14,101.6253,GBP,FundPrice
2011-07-15,101.7398,GBP,FundPrice
2011-07-16,101.7398,GBP,FundPrice
2011-07-17,101.7398,GBP,FundPrice
2011-07-18,101.0425,GBP,FundPrice
2011-07-19,101.4212,GBP,FundPrice
2011-07-20,102.1181,GBP,FundPrice
2011-07-21,102.3492,GBP,FundPrice
2011-07-22,102.8773,GBP,FundPrice
2011-07-23,102.8773,GBP,FundPrice
2011-07-24,102.8773,GBP,FundPrice
2011-07-25,102.673,GBP,FundPrice
2011-07-26,102.3656,GBP,FundPrice
2011-07-27,101.442,GBP,FundPrice
2011-07-28,101.2504,GBP,FundPrice
2011-07-29,100.6059,GBP,FundPrice
2011-07-30,100.6059,GBP,FundPrice
2011-07-31,100.6059,GBP,FundPrice
2011-08-01,100.7892,GBP,FundPrice
2011-08-02,99.2017,GBP,FundPrice
2011-08-03,97.9785,GBP,FundPrice
2011-08-04,95.3422,GBP,FundPrice
2011-08-05,93.6581,GBP,FundPrice
2011-08-06,93.6581,GBP,FundPrice
2011-08-07,93.6581,GBP,FundPrice
2011-08-08,90.4062,GBP,FundPrice
2011-08-09,91.9576,GBP,FundPrice
2011-08-10,90.5762,GBP,FundPrice
2011-08-11,92.3439,GBP,FundPrice
2011-08-12,93.3605,GBP,FundPrice
2011-08-13,93.3605,GBP,FundPrice
2011-08-14,93.3605,GBP,FundPrice
2011-08-15,94.167,GBP,FundPrice
2011-08-16,93.8348,GBP,FundPrice
2011-08-17,93.7151,GBP,FundPrice
2011-08-18,91.0469,GBP,FundPrice
2011-08-19,89.5558,GBP,FundPrice
2011-08-20,89.5558,GBP,FundPrice
2011-08-21,89.5558,GBP,FundPrice
2011-08-22,90.156,GBP,FundPrice
2011-08-23,91.2204,GBP,FundPrice
2011-08-24,92.0659,GBP,FundPrice
2011-08-25,91.7044,GBP,FundPrice
2011-08-26,92.1184,GBP,FundPrice
2011-08-27,92.1184,GBP,FundPrice
2011-08-28,92.1184,GBP,FundPrice
2011-08-29,92.1184,GBP,FundPrice
2011-08-30,94.1086,GBP,FundPrice
2011-08-31,95.1624,GBP,FundPrice
2011-09-01,95.5587,GBP,FundPrice
2011-09-02,93.7849,GBP,FundPrice
2011-09-03,93.7849,GBP,FundPrice
2011-09-04,93.7849,GBP,FundPrice
2011-09-05,91.9834,GBP,FundPrice
2011-09-06,92.4104,GBP,FundPrice
2011-09-07,94.6656,GBP,FundPrice
2011-09-08,94.2325,GBP,FundPrice
2011-09-09,92.9215,GBP,FundPrice
2011-09-10,92.9215,GBP,FundPrice
2011-09-11,92.9215,GBP,FundPrice
2011-09-12,92.2624,GBP,FundPrice
2011-09-13,92.8848,GBP,FundPrice
2011-09-14,93.5078,GBP,FundPrice
2011-09-15,94.6858,GBP,FundPrice
2011-09-16,95.3296,GBP,FundPrice
2011-09-17,95.3296,GBP,FundPrice
2011-09-18,95.3296,GBP,FundPrice
2011-09-19,94.489,GBP,FundPrice
2011-09-20,94.8067,GBP,FundPrice
2011-09-21,93.8096,GBP,FundPrice
2011-09-22,91.4417,GBP,FundPrice
2011-09-23,91.2438,GBP,FundPrice
2011-09-24,91.2438,GBP,FundPrice
2011-09-25,91.2438,GBP,FundPrice
2011-09-26,91.3317,GBP,FundPrice
2011-09-27,93.1437,GBP,FundPrice
2011-09-28,92.4252,GBP,FundPrice
2011-09-29,92.5746,GBP,FundPrice
2011-09-30,91.5797,GBP,FundPrice
2011-10-01,91.5797,GBP,FundPrice
2011-10-02,91.5797,GBP,FundPrice
2011-10-03,90.4616,GBP,FundPrice
2011-10-04,89.997,GBP,FundPrice
2011-10-05,91.3594,GBP,FundPrice
2011-10-06,93.7005,GBP,FundPrice
2011-10-07,93.26,GBP,FundPrice
2011-10-08,93.26,GBP,FundPrice
2011-10-09,93.26,GBP,FundPrice
2011-10-10,94.6904,GBP,FundPrice
2011-10-11,94.987,GBP,FundPrice
2011-10-12,95.3534,GBP,FundPrice
2011-10-13,95.3147,GBP,FundPrice
2011-10-14,95.9576,GBP,FundPrice
2011-10-15,95.9576,GBP,FundPrice
2011-10-16,95.9576,GBP,FundPrice
2011-10-17,95.5032,GBP,FundPrice
2011-10-18,96.0663,GBP,FundPrice
2011-10-19,95.5101,GBP,FundPrice
2011-10-20,95.1975,GBP,FundPrice
2011-10-21,95.8107,GBP,FundPrice
2011-10-22,95.8107,GBP,FundPrice
2011-10-23,95.8107,GBP,FundPrice
2011-10-24,96.9621,GBP,FundPrice
2011-10-25,96.357,GBP,FundPrice
2011-10-26,96.9735,GBP,FundPrice
2011-10-27,99.1898,GBP,FundPrice
2011-10-28,99.0762,GBP,FundPrice
2011-10-29,99.0762,GBP,FundPrice
2011-10-30,99.0762,GBP,FundPrice
2011-10-31,97.2192,GBP,FundPrice
2011-11-01,95.7721,GBP,FundPrice
2011-11-02,96.548,GBP,FundPrice
2011-11-03,97.3801,GBP,FundPrice
2011-11-04,97.1636,GBP,FundPrice
2011-11-05,97.1636,GBP,FundPrice
2011-11-06,97.1636,GBP,FundPrice
2011-11-07,97.1426,GBP,FundPrice
2011-11-08,97.7346,GBP,FundPrice
2011-11-09,96.4488,GBP,FundPrice
2011-11-10,96.2919,GBP,FundPrice
2011-11-11,97.1126,GBP,FundPrice
2011-11-12,97.1126,GBP,FundPrice
2011-11-13,97.1126,GBP,FundPrice
2011-11-14,97.371,GBP,FundPrice
2011-11-15,97.5046,GBP,FundPrice
2011-11-16,97.0201,GBP,FundPrice
2011-11-17,95.9249,GBP,FundPrice
2011-11-18,95.2539,GBP,FundPrice
2011-11-19,95.2539,GBP,FundPrice
2011-11-20,95.2539,GBP,FundPrice
2011-11-21,93.9863,GBP,FundPrice
2011-11-22,93.7685,GBP,FundPrice
2011-11-23,92.8193,GBP,FundPrice
2011-11-24,92.6918,GBP,FundPrice
2011-11-25,92.6017,GBP,FundPrice
2011-11-26,92.6017,GBP,FundPrice
2011-11-27,92.6017,GBP,FundPrice
2011-11-28,94.7731,GBP,FundPrice
2011-11-29,95.1205,GBP,FundPrice
2011-11-30,97.1894,GBP,FundPrice
2011-12-01,97.5318,GBP,FundPrice
2011-12-02,97.9891,GBP,FundPrice
2011-12-03,97.9891,GBP,FundPrice
2011-12-04,97.9891,GBP,FundPrice
2011-12-05,98.2319,GBP,FundPrice
2011-12-06,98.5086,GBP,FundPrice
2011-12-07,98.3125,GBP,FundPrice
2011-12-08,97.2279,GBP,FundPrice
2011-12-09,97.7641,GBP,FundPrice
2011-12-10,97.7641,GBP,FundPrice
2011-12-11,97.7641,GBP,FundPrice
2011-12-12,96.6444,GBP,FundPrice
2011-12-13,96.6791,GBP,FundPrice
2011-12-14,95.7769,GBP,FundPrice
2011-12-15,95.7711,GBP,FundPrice
2011-12-16,95.9078,GBP,FundPrice
2011-12-17,95.9078,GBP,FundPrice
2011-12-18,95.9078,GBP,FundPrice
2011-12-19,95.2029,GBP,FundPrice
2011-12-20,96.1146,GBP,FundPrice
2011-12-21,96.3109,GBP,FundPrice
2011-12-22,96.8692,GBP,FundPrice
2011-12-23,97.6888,GBP,FundPrice
2011-12-24,97.6888,GBP,FundPrice
2011-12-25,97.6888,GBP,FundPrice
2011-12-26,97.6888,GBP,FundPrice
2011-12-27,97.6888,GBP,FundPrice
2011-12-28,97.6357,GBP,FundPrice
2011-12-29,98.6217,GBP,FundPrice
2011-12-30,98.2924,GBP,FundPrice
2011-12-31,98.2924,GBP,FundPrice
2012-01-01,98.2924,GBP,FundPrice
