asOfDate,price,currencyCode,__typename
2021-05-20,5.0,GBP,FundPrice
2021-05-21,5.005,GBP,FundPrice
2021-05-22,5.005,GBP,FundPrice
2021-05-23,5.005,GBP,FundPrice
2021-05-24,5.0108,GBP,FundPrice
2021-05-25,5.0247,GBP,FundPrice
2021-05-26,5.0258,GBP,FundPrice
2021-05-27,5.0182,GBP,FundPrice
2021-05-28,5.0244,GBP,FundPrice
2021-05-29,5.0244,GBP,FundPrice
2021-05-30,5.0244,GBP,FundPrice
2021-05-31,5.0255,GBP,FundPrice
2021-06-01,5.0197,GBP,FundPrice
2021-06-02,5.0262,GBP,FundPrice
2021-06-03,5.0177,GBP,FundPrice
2021-06-04,5.0357,GBP,FundPrice
2021-06-05,5.0357,GBP,FundPrice
2021-06-06,5.0357,GBP,FundPrice
2021-06-07,5.0324,GBP,FundPrice
2021-06-08,5.0417,GBP,FundPrice
2021-06-09,5.0536,GBP,FundPrice
2021-06-10,5.063,GBP,FundPrice
2021-06-11,5.0657,GBP,FundPrice
2021-06-12,5.0657,GBP,FundPrice
2021-06-13,5.0657,GBP,FundPrice
2021-06-14,5.0577,GBP,FundPrice
2021-06-15,5.0571,GBP,FundPrice
2021-06-16,5.0509,GBP,FundPrice
2021-06-17,5.0614,GBP,FundPrice
2021-06-18,5.077,GBP,FundPrice
2021-06-19,5.077,GBP,FundPrice
2021-06-20,5.077,GBP,FundPrice
2021-06-21,5.0605,GBP,FundPrice
2021-06-22,5.0621,GBP,FundPrice
2021-06-23,5.0593,GBP,FundPrice
2021-06-24,5.0628,GBP,FundPrice
2021-06-25,5.0537,GBP,FundPrice
2021-06-26,5.0537,GBP,FundPrice
2021-06-27,5.0537,GBP,FundPrice
2021-06-28,5.0681,GBP,FundPrice
2021-06-29,5.0709,GBP,FundPrice
2021-06-30,5.0769,GBP,FundPrice
2021-07-01,5.0743,GBP,FundPrice
2021-07-02,5.0829,GBP,FundPrice
2021-07-03,5.0829,GBP,FundPrice
2021-07-04,5.0829,GBP,FundPrice
2021-07-05,5.082,GBP,FundPrice
2021-07-06,5.1004,GBP,FundPrice
2021-07-07,5.1088,GBP,FundPrice
2021-07-08,5.1112,GBP,FundPrice
2021-07-09,5.0948,GBP,FundPrice
2021-07-10,5.0948,GBP,FundPrice
2021-07-11,5.0948,GBP,FundPrice
2021-07-12,5.0961,GBP,FundPrice
2021-07-13,5.0882,GBP,FundPrice
2021-07-14,5.1024,GBP,FundPrice
2021-07-15,5.1034,GBP,FundPrice
2021-07-16,5.1023,GBP,FundPrice
2021-07-17,5.1023,GBP,FundPrice
2021-07-18,5.1023,GBP,FundPrice
2021-07-19,5.1218,GBP,FundPrice
2021-07-20,5.1189,GBP,FundPrice
2021-07-21,5.108,GBP,FundPrice
2021-07-22,5.1204,GBP,FundPrice
2021-07-23,5.1169,GBP,FundPrice
2021-07-24,5.1169,GBP,FundPrice
2021-07-25,5.1169,GBP,FundPrice
2021-07-26,5.1161,GBP,FundPrice
2021-07-27,5.1263,GBP,FundPrice
2021-07-28,5.1309,GBP,FundPrice
2021-07-29,5.1249,GBP,FundPrice
2021-07-30,5.1304,GBP,FundPrice
2021-07-31,5.1304,GBP,FundPrice
2021-08-01,5.1304,GBP,FundPrice
2021-08-02,5.1397,GBP,FundPrice
2021-08-03,5.1412,GBP,FundPrice
2021-08-04,5.1411,GBP,FundPrice
2021-08-05,5.1341,GBP,FundPrice
2021-08-06,5.11,GBP,FundPrice
2021-08-07,5.11,GBP,FundPrice
2021-08-08,5.11,GBP,FundPrice
2021-08-09,5.1044,GBP,FundPrice
2021-08-10,5.0991,GBP,FundPrice
2021-08-11,5.1002,GBP,FundPrice
2021-08-12,5.1002,GBP,FundPrice
2021-08-13,5.1175,GBP,FundPrice
2021-08-14,5.1175,GBP,FundPrice
2021-08-15,5.1175,GBP,FundPrice
2021-08-16,5.1221,GBP,FundPrice
2021-08-17,5.1181,GBP,FundPrice
2021-08-18,5.1192,GBP,FundPrice
2021-08-19,5.1175,GBP,FundPrice
2021-08-20,5.119,GBP,FundPrice
2021-08-21,5.119,GBP,FundPrice
2021-08-22,5.119,GBP,FundPrice
2021-08-23,5.1202,GBP,FundPrice
2021-08-24,5.1136,GBP,FundPrice
2021-08-25,5.1021,GBP,FundPrice
2021-08-26,5.1039,GBP,FundPrice
2021-08-27,5.1136,GBP,FundPrice
2021-08-28,5.1136,GBP,FundPrice
2021-08-29,5.1136,GBP,FundPrice
2021-08-30,5.1206,GBP,FundPrice
2021-08-31,5.1107,GBP,FundPrice
2021-09-01,5.111,GBP,FundPrice
2021-09-02,5.1174,GBP,FundPrice
2021-09-03,5.1075,GBP,FundPrice
2021-09-04,5.1075,GBP,FundPrice
2021-09-05,5.1075,GBP,FundPrice
