price,asOfDate,currencyCode,__typename
107.5126,2024-10-11,USD,FundPrice
106.917,2024-10-10,USD,FundPrice
107.0533,2024-10-09,USD,FundPrice
106.4382,2024-10-08,USD,FundPrice
106.0428,2024-10-07,USD,FundPrice
106.582,2024-10-04,USD,FundPrice
105.9634,2024-10-03,USD,FundPrice
106.2649,2024-10-02,USD,FundPrice
106.5339,2024-10-01,USD,FundPrice
107.3589,2024-09-30,USD,FundPrice
107.531,2024-09-27,USD,FundPrice
107.2574,2024-09-26,USD,FundPrice
106.4805,2024-09-25,USD,FundPrice
106.6754,2024-09-24,USD,FundPrice
106.2678,2024-09-23,USD,FundPrice
105.9527,2024-09-20,USD,FundPrice
106.3169,2024-09-19,USD,FundPrice
104.6341,2024-09-18,USD,FundPrice
104.9306,2024-09-17,USD,FundPrice
104.9315,2024-09-16,USD,FundPrice
104.7588,2024-09-13,USD,FundPrice
104.0749,2024-09-12,USD,FundPrice
103.4305,2024-09-11,USD,FundPrice
102.7374,2024-09-10,USD,FundPrice
102.5932,2024-09-09,USD,FundPrice
101.8542,2024-09-06,USD,FundPrice
103.2152,2024-09-05,USD,FundPrice
103.5617,2024-09-04,USD,FundPrice
104.0509,2024-09-03,USD,FundPrice
105.8051,2024-09-02,USD,FundPrice
105.8546,2024-08-30,USD,FundPrice
105.0186,2024-08-29,USD,FundPrice
104.9902,2024-08-28,USD,FundPrice
105.4202,2024-08-27,USD,FundPrice
105.2569,2024-08-26,USD,FundPrice
105.4547,2024-08-23,USD,FundPrice
104.2865,2024-08-22,USD,FundPrice
104.9048,2024-08-21,USD,FundPrice
104.5127,2024-08-20,USD,FundPrice
104.5346,2024-08-19,USD,FundPrice
103.5606,2024-08-16,USD,FundPrice
103.0154,2024-08-15,USD,FundPrice
101.7214,2024-08-14,USD,FundPrice
101.0972,2024-08-13,USD,FundPrice
99.525,2024-08-12,USD,FundPrice
99.5634,2024-08-09,USD,FundPrice
98.9477,2024-08-08,USD,FundPrice
97.4253,2024-08-07,USD,FundPrice
97.5834,2024-08-06,USD,FundPrice
96.4161,2024-08-05,USD,FundPrice
99.6283,2024-08-02,USD,FundPrice
101.6492,2024-08-01,USD,FundPrice
103.1393,2024-07-31,USD,FundPrice
101.4839,2024-07-30,USD,FundPrice
101.8202,2024-07-29,USD,FundPrice
101.7037,2024-07-26,USD,FundPrice
100.7622,2024-07-25,USD,FundPrice
101.5379,2024-07-24,USD,FundPrice
103.3293,2024-07-23,USD,FundPrice
103.4098,2024-07-22,USD,FundPrice
102.5714,2024-07-19,USD,FundPrice
103.3483,2024-07-18,USD,FundPrice
104.1487,2024-07-17,USD,FundPrice
105.0633,2024-07-16,USD,FundPrice
104.711,2024-07-15,USD,FundPrice
104.6465,2024-07-12,USD,FundPrice
104.0629,2024-07-11,USD,FundPrice
104.2041,2024-07-10,USD,FundPrice
103.248,2024-07-09,USD,FundPrice
103.3372,2024-07-08,USD,FundPrice
103.3024,2024-07-05,USD,FundPrice
102.9212,2024-07-04,USD,FundPrice
102.6757,2024-07-03,USD,FundPrice
101.9764,2024-07-02,USD,FundPrice
101.5076,2024-07-01,USD,FundPrice
101.2564,2024-06-28,USD,FundPrice
101.506,2024-06-27,USD,FundPrice
101.4558,2024-06-26,USD,FundPrice
101.4666,2024-06-25,USD,FundPrice
101.1325,2024-06-24,USD,FundPrice
101.0683,2024-06-21,USD,FundPrice
101.4214,2024-06-20,USD,FundPrice
101.5052,2024-06-19,USD,FundPrice
101.4496,2024-06-18,USD,FundPrice
101.0378,2024-06-17,USD,FundPrice
100.6171,2024-06-14,USD,FundPrice
100.9461,2024-06-13,USD,FundPrice
