asOfDate,price,currencyCode,__typename
2020-06-09,100.13,GBP,FundPrice
2020-06-10,100.1072,GBP,FundPrice
2020-06-11,99.0581,GBP,FundPrice
2020-06-12,99.5961,GBP,FundPrice
2020-06-13,99.5961,GBP,FundPrice
2020-06-14,99.5961,GBP,FundPrice
2020-06-15,97.9591,GBP,FundPrice
2020-06-16,99.8216,GBP,FundPrice
2020-06-17,100.692,GBP,FundPrice
2020-06-18,101.6591,GBP,FundPrice
2020-06-19,102.7384,GBP,FundPrice
2020-06-20,102.7384,GBP,FundPrice
2020-06-21,102.7384,GBP,FundPrice
2020-06-22,102.0231,GBP,FundPrice
2020-06-23,102.8293,GBP,FundPrice
2020-06-24,102.9299,GBP,FundPrice
2020-06-25,102.8907,GBP,FundPrice
2020-06-26,102.7728,GBP,FundPrice
2020-06-27,102.7728,GBP,FundPrice
2020-06-28,102.7728,GBP,FundPrice
2020-06-29,103.0187,GBP,FundPrice
2020-06-30,102.2475,GBP,FundPrice
2020-07-01,101.9841,GBP,FundPrice
2020-07-02,104.3428,GBP,FundPrice
2020-07-03,105.3883,GBP,FundPrice
2020-07-04,105.3883,GBP,FundPrice
2020-07-05,105.3883,GBP,FundPrice
2020-07-06,107.9182,GBP,FundPrice
2020-07-07,106.8501,GBP,FundPrice
2020-07-08,108.7193,GBP,FundPrice
2020-07-09,109.6851,GBP,FundPrice
2020-07-10,108.2483,GBP,FundPrice
2020-07-11,108.2483,GBP,FundPrice
2020-07-12,108.2483,GBP,FundPrice
2020-07-13,108.6956,GBP,FundPrice
2020-07-14,108.0806,GBP,FundPrice
2020-07-15,107.7969,GBP,FundPrice
2020-07-16,105.9319,GBP,FundPrice
2020-07-17,107.3276,GBP,FundPrice
2020-07-18,107.3276,GBP,FundPrice
2020-07-19,107.3276,GBP,FundPrice
2020-07-20,107.4822,GBP,FundPrice
2020-07-21,108.8127,GBP,FundPrice
2020-07-22,107.9115,GBP,FundPrice
2020-07-23,108.0002,GBP,FundPrice
2020-07-24,105.5475,GBP,FundPrice
2020-07-25,105.5475,GBP,FundPrice
2020-07-26,105.5475,GBP,FundPrice
2020-07-27,105.8768,GBP,FundPrice
2020-07-28,106.1594,GBP,FundPrice
2020-07-29,106.3645,GBP,FundPrice
2020-07-30,105.4356,GBP,FundPrice
2020-07-31,104.6497,GBP,FundPrice
2020-08-01,104.6497,GBP,FundPrice
2020-08-02,104.6497,GBP,FundPrice
2020-08-03,105.3917,GBP,FundPrice
2020-08-04,106.4133,GBP,FundPrice
2020-08-05,106.7072,GBP,FundPrice
2020-08-06,106.8415,GBP,FundPrice
2020-08-07,105.725,GBP,FundPrice
2020-08-08,105.725,GBP,FundPrice
2020-08-09,105.725,GBP,FundPrice
2020-08-10,105.052,GBP,FundPrice
2020-08-11,105.1935,GBP,FundPrice
2020-08-12,105.6256,GBP,FundPrice
2020-08-13,105.4306,GBP,FundPrice
2020-08-14,105.2584,GBP,FundPrice
2020-08-15,105.2584,GBP,FundPrice
2020-08-16,105.2584,GBP,FundPrice
2020-08-17,106.1727,GBP,FundPrice
2020-08-18,105.8371,GBP,FundPrice
2020-08-19,105.8289,GBP,FundPrice
2020-08-20,104.6654,GBP,FundPrice
2020-08-21,106.4252,GBP,FundPrice
2020-08-22,106.4252,GBP,FundPrice
2020-08-23,106.4252,GBP,FundPrice
