asOfDate,price,currencyCode,__typename
2009-06-23,100.0,GBP,FundPrice
2009-06-24,100.226997,GBP,FundPrice
2009-06-25,102.3949,GBP,FundPrice
2009-06-26,101.63315,GBP,FundPrice
2009-06-27,101.63315,GBP,FundPrice
2009-06-28,101.63315,GBP,FundPrice
2009-06-29,102.119113,GBP,FundPrice
2009-06-30,101.97188,GBP,FundPrice
2009-07-01,102.711343,GBP,FundPrice
2009-07-02,100.8008,GBP,FundPrice
2009-07-03,100.82654,GBP,FundPrice
2009-07-04,100.82654,GBP,FundPrice
2009-07-05,100.82654,GBP,FundPrice
2009-07-06,101.241377,GBP,FundPrice
2009-07-07,100.076013,GBP,FundPrice
2009-07-08,99.831537,GBP,FundPrice
2009-07-09,99.434393,GBP,FundPrice
2009-07-10,99.073077,GBP,FundPrice
2009-07-11,99.073077,GBP,FundPrice
2009-07-12,99.073077,GBP,FundPrice
2009-07-13,101.15674,GBP,FundPrice
2009-07-14,101.22334,GBP,FundPrice
2009-07-15,103.094598,GBP,FundPrice
2009-07-16,103.927034,GBP,FundPrice
2009-07-17,104.886657,GBP,FundPrice
2009-07-18,104.886657,GBP,FundPrice
2009-07-19,104.886657,GBP,FundPrice
2009-07-20,105.28216,GBP,FundPrice
2009-07-21,106.292443,GBP,FundPrice
2009-07-22,106.442926,GBP,FundPrice
2009-07-23,107.873042,GBP,FundPrice
2009-07-24,108.985244,GBP,FundPrice
2009-07-25,108.985244,GBP,FundPrice
2009-07-26,108.985244,GBP,FundPrice
2009-07-27,108.954322,GBP,FundPrice
2009-07-28,108.879725,GBP,FundPrice
2009-07-29,108.712463,GBP,FundPrice
2009-07-30,109.677765,GBP,FundPrice
2009-07-31,109.793595,GBP,FundPrice
2009-08-01,109.793595,GBP,FundPrice
2009-08-02,109.793595,GBP,FundPrice
2009-08-03,109.53341,GBP,FundPrice
2009-08-04,109.825311,GBP,FundPrice
2009-08-05,108.939359,GBP,FundPrice
2009-08-06,109.781587,GBP,FundPrice
2009-08-07,111.025131,GBP,FundPrice
2009-08-08,111.025131,GBP,FundPrice
2009-08-09,111.025131,GBP,FundPrice
2009-08-10,111.729442,GBP,FundPrice
2009-08-11,110.844554,GBP,FundPrice
2009-08-12,111.495613,GBP,FundPrice
2009-08-13,112.470007,GBP,FundPrice
2009-08-14,112.221005,GBP,FundPrice
2009-08-15,112.221005,GBP,FundPrice
2009-08-16,112.221005,GBP,FundPrice
2009-08-17,110.543524,GBP,FundPrice
2009-08-18,110.107324,GBP,FundPrice
2009-08-19,110.901557,GBP,FundPrice
2009-08-20,112.316372,GBP,FundPrice
2009-08-21,113.937281,GBP,FundPrice
2009-08-22,113.937281,GBP,FundPrice
2009-08-23,113.937281,GBP,FundPrice
2009-08-24,115.477193,GBP,FundPrice
2009-08-25,116.070615,GBP,FundPrice
2009-08-26,116.928027,GBP,FundPrice
2009-08-27,117.177734,GBP,FundPrice
2009-08-28,117.008118,GBP,FundPrice
2009-08-29,117.008118,GBP,FundPrice
2009-08-30,117.008118,GBP,FundPrice
2009-08-31,117.008118,GBP,FundPrice
2009-09-01,114.66138,GBP,FundPrice
2009-09-02,113.488088,GBP,FundPrice
2009-09-03,113.538588,GBP,FundPrice
2009-09-04,114.677808,GBP,FundPrice
2009-09-05,114.677808,GBP,FundPrice
2009-09-06,114.677808,GBP,FundPrice
2009-09-07,115.862677,GBP,FundPrice
2009-09-08,115.464336,GBP,FundPrice
2009-09-09,116.230826,GBP,FundPrice
2009-09-10,116.442871,GBP,FundPrice
2009-09-11,116.681797,GBP,FundPrice
2009-09-12,116.681797,GBP,FundPrice
2009-09-13,116.681797,GBP,FundPrice
2009-09-14,117.237137,GBP,FundPrice
2009-09-15,118.803299,GBP,FundPrice
2009-09-16,120.198747,GBP,FundPrice
2009-09-17,120.28656,GBP,FundPrice
2009-09-18,121.897636,GBP,FundPrice
2009-09-19,121.897636,GBP,FundPrice
2009-09-20,121.897636,GBP,FundPrice
2009-09-21,121.89962,GBP,FundPrice
2009-09-22,121.794817,GBP,FundPrice
2009-09-23,120.837107,GBP,FundPrice
2009-09-24,122.120488,GBP,FundPrice
2009-09-25,122.358603,GBP,FundPrice
2009-09-26,122.358603,GBP,FundPrice
2009-09-27,122.358603,GBP,FundPrice
2009-09-28,124.073457,GBP,FundPrice
2009-09-29,123.44053,GBP,FundPrice
2009-09-30,123.151928,GBP,FundPrice
2009-10-01,120.433003,GBP,FundPrice
2009-10-02,119.815628,GBP,FundPrice
2009-10-03,119.815628,GBP,FundPrice
2009-10-04,119.815628,GBP,FundPrice
2009-10-05,120.448003,GBP,FundPrice
2009-10-06,122.92618,GBP,FundPrice
2009-10-07,123.339252,GBP,FundPrice
2009-10-08,123.403731,GBP,FundPrice
2009-10-09,125.137653,GBP,FundPrice
2009-10-10,125.137653,GBP,FundPrice
2009-10-11,125.137653,GBP,FundPrice
2009-10-12,126.974183,GBP,FundPrice
2009-10-13,126.076313,GBP,FundPrice
2009-10-14,127.433665,GBP,FundPrice
2009-10-15,125.310602,GBP,FundPrice
2009-10-16,123.450943,GBP,FundPrice
2009-10-17,123.450943,GBP,FundPrice
2009-10-18,123.450943,GBP,FundPrice
2009-10-19,124.520649,GBP,FundPrice
2009-10-20,123.672938,GBP,FundPrice
2009-10-21,121.881886,GBP,FundPrice
2009-10-22,122.3242,GBP,FundPrice
2009-10-23,123.095476,GBP,FundPrice
2009-10-24,123.095476,GBP,FundPrice
2009-10-25,123.095476,GBP,FundPrice
2009-10-26,121.645778,GBP,FundPrice
2009-10-27,120.671567,GBP,FundPrice
2009-10-28,118.000614,GBP,FundPrice
2009-10-29,118.50565,GBP,FundPrice
2009-10-30,116.901555,GBP,FundPrice
2009-10-31,116.901555,GBP,FundPrice
2009-11-01,116.901555,GBP,FundPrice
2009-11-02,117.904431,GBP,FundPrice
2009-11-03,117.275665,GBP,FundPrice
2009-11-04,117.041943,GBP,FundPrice
2009-11-05,118.254036,GBP,FundPrice
2009-11-06,118.686321,GBP,FundPrice
2009-11-07,118.686321,GBP,FundPrice
2009-11-08,118.686321,GBP,FundPrice
2009-11-09,120.310463,GBP,FundPrice
2009-11-10,120.396286,GBP,FundPrice
2009-11-11,122.175901,GBP,FundPrice
2009-11-12,121.306455,GBP,FundPrice
2009-11-13,120.878916,GBP,FundPrice
2009-11-14,120.878916,GBP,FundPrice
2009-11-15,120.878916,GBP,FundPrice
2009-11-16,121.892543,GBP,FundPrice
2009-11-17,121.140536,GBP,FundPrice
2009-11-18,121.722091,GBP,FundPrice
2009-11-19,120.847548,GBP,FundPrice
2009-11-20,121.036098,GBP,FundPrice
2009-11-21,121.036098,GBP,FundPrice
2009-11-22,121.036098,GBP,FundPrice
2009-11-23,122.26712,GBP,FundPrice
2009-11-24,121.906343,GBP,FundPrice
2009-11-25,122.429527,GBP,FundPrice
2009-11-26,120.899039,GBP,FundPrice
2009-11-27,120.890071,GBP,FundPrice
2009-11-28,120.890071,GBP,FundPrice
2009-11-29,120.890071,GBP,FundPrice
2009-11-30,122.245181,GBP,FundPrice
2009-12-01,122.836146,GBP,FundPrice
2009-12-02,122.851656,GBP,FundPrice
2009-12-03,123.205743,GBP,FundPrice
2009-12-04,123.371988,GBP,FundPrice
2009-12-05,123.371988,GBP,FundPrice
2009-12-06,123.371988,GBP,FundPrice
2009-12-07,123.8914,GBP,FundPrice
2009-12-08,123.572124,GBP,FundPrice
2009-12-09,123.972604,GBP,FundPrice
2009-12-10,124.243256,GBP,FundPrice
2009-12-11,124.555425,GBP,FundPrice
