asOfDate,price,currencyCode,__typename
2019-10-15,100.48,GBP,FundPrice
2019-10-16,100.0586,GBP,FundPrice
2019-10-17,100.4915,GBP,FundPrice
2019-10-18,99.9471,GBP,FundPrice
2019-10-19,99.9471,GBP,FundPrice
2019-10-20,99.9471,GBP,FundPrice
2019-10-21,100.3069,GBP,FundPrice
2019-10-22,100.6663,GBP,FundPrice
2019-10-23,101.0559,GBP,FundPrice
2019-10-24,101.87,GBP,FundPrice
2019-10-25,102.0672,GBP,FundPrice
2019-10-26,102.0672,GBP,FundPrice
2019-10-27,102.0672,GBP,FundPrice
2019-10-28,102.8907,GBP,FundPrice
2019-10-29,102.494,GBP,FundPrice
2019-10-30,102.5774,GBP,FundPrice
2019-10-31,102.111,GBP,FundPrice
2019-11-01,102.69,GBP,FundPrice
2019-11-02,102.69,GBP,FundPrice
2019-11-03,102.69,GBP,FundPrice
2019-11-04,103.3647,GBP,FundPrice
2019-11-05,103.7589,GBP,FundPrice
2019-11-06,103.8301,GBP,FundPrice
2019-11-07,104.3565,GBP,FundPrice
2019-11-08,103.4268,GBP,FundPrice
2019-11-09,103.4268,GBP,FundPrice
2019-11-10,103.4268,GBP,FundPrice
2019-11-11,102.9049,GBP,FundPrice
2019-11-12,103.3318,GBP,FundPrice
2019-11-13,103.4412,GBP,FundPrice
2019-11-14,103.0815,GBP,FundPrice
2019-11-15,103.3236,GBP,FundPrice
2019-11-16,103.3236,GBP,FundPrice
2019-11-17,103.3236,GBP,FundPrice
2019-11-18,103.2093,GBP,FundPrice
2019-11-19,104.5374,GBP,FundPrice
2019-11-20,103.8468,GBP,FundPrice
2019-11-21,103.2929,GBP,FundPrice
2019-11-22,104.323,GBP,FundPrice
2019-11-23,104.323,GBP,FundPrice
2019-11-24,104.323,GBP,FundPrice
2019-11-25,105.4241,GBP,FundPrice
2019-11-26,105.8449,GBP,FundPrice
2019-11-27,106.4375,GBP,FundPrice
2019-11-28,106.6484,GBP,FundPrice
2019-11-29,106.0241,GBP,FundPrice
2019-11-30,106.0241,GBP,FundPrice
2019-12-01,106.0241,GBP,FundPrice
2019-12-02,104.8579,GBP,FundPrice
2019-12-03,103.3356,GBP,FundPrice
2019-12-04,103.8652,GBP,FundPrice
2019-12-05,103.5038,GBP,FundPrice
2019-12-06,104.8044,GBP,FundPrice
2019-12-07,104.8044,GBP,FundPrice
2019-12-08,104.8044,GBP,FundPrice
2019-12-09,104.5437,GBP,FundPrice
2019-12-10,104.0785,GBP,FundPrice
2019-12-11,103.7894,GBP,FundPrice
2019-12-12,104.2903,GBP,FundPrice
2019-12-13,107.2405,GBP,FundPrice
2019-12-14,107.2405,GBP,FundPrice
2019-12-15,107.2405,GBP,FundPrice
2019-12-16,109.5753,GBP,FundPrice
2019-12-17,109.1431,GBP,FundPrice
