price,asOfDate,currencyCode,__typename
189.8671,2024-10-11,GBP,FundPrice
189.5513,2024-10-10,GBP,FundPrice
189.5099,2024-10-09,GBP,FundPrice
188.8564,2024-10-08,GBP,FundPrice
189.0516,2024-10-07,GBP,FundPrice
189.3786,2024-10-04,GBP,FundPrice
189.3046,2024-10-03,GBP,FundPrice
188.8898,2024-10-02,GBP,FundPrice
188.9733,2024-10-01,GBP,FundPrice
188.3769,2024-09-30,GBP,FundPrice
188.9829,2024-09-27,GBP,FundPrice
188.3678,2024-09-26,GBP,FundPrice
187.7379,2024-09-25,GBP,FundPrice
188.0935,2024-09-24,GBP,FundPrice
187.7198,2024-09-23,GBP,FundPrice
187.8449,2024-09-20,GBP,FundPrice
188.6955,2024-09-19,GBP,FundPrice
187.3618,2024-09-18,GBP,FundPrice
188.2055,2024-09-17,GBP,FundPrice
188.0731,2024-09-16,GBP,FundPrice
187.9242,2024-09-13,GBP,FundPrice
187.6867,2024-09-12,GBP,FundPrice
187.2298,2024-09-11,GBP,FundPrice
186.3128,2024-09-10,GBP,FundPrice
185.9849,2024-09-09,GBP,FundPrice
184.5902,2024-09-06,GBP,FundPrice
185.8544,2024-09-05,GBP,FundPrice
185.9654,2024-09-04,GBP,FundPrice
186.7949,2024-09-03,GBP,FundPrice
187.7431,2024-09-02,GBP,FundPrice
187.9357,2024-08-30,GBP,FundPrice
187.1777,2024-08-29,GBP,FundPrice
186.8505,2024-08-28,GBP,FundPrice
186.9975,2024-08-27,GBP,FundPrice
187.637,2024-08-23,GBP,FundPrice
186.7976,2024-08-22,GBP,FundPrice
187.9005,2024-08-21,GBP,FundPrice
187.5548,2024-08-20,GBP,FundPrice
187.9801,2024-08-19,GBP,FundPrice
187.8279,2024-08-16,GBP,FundPrice
187.416,2024-08-15,GBP,FundPrice
186.537,2024-08-14,GBP,FundPrice
185.8055,2024-08-13,GBP,FundPrice
184.4329,2024-08-12,GBP,FundPrice
184.5278,2024-08-09,GBP,FundPrice
183.9123,2024-08-08,GBP,FundPrice
182.7969,2024-08-07,GBP,FundPrice
182.701,2024-08-06,GBP,FundPrice
181.4276,2024-08-05,GBP,FundPrice
184.5762,2024-08-02,GBP,FundPrice
186.447,2024-08-01,GBP,FundPrice
187.0323,2024-07-31,GBP,FundPrice
185.3244,2024-07-30,GBP,FundPrice
185.4326,2024-07-29,GBP,FundPrice
184.9788,2024-07-26,GBP,FundPrice
183.7221,2024-07-25,GBP,FundPrice
183.8643,2024-07-24,GBP,FundPrice
185.54,2024-07-23,GBP,FundPrice
185.5751,2024-07-22,GBP,FundPrice
184.7399,2024-07-19,GBP,FundPrice
185.4915,2024-07-18,GBP,FundPrice
185.9081,2024-07-17,GBP,FundPrice
187.0865,2024-07-16,GBP,FundPrice
186.337,2024-07-15,GBP,FundPrice
186.3447,2024-07-12,GBP,FundPrice
186.3591,2024-07-11,GBP,FundPrice
186.5261,2024-07-10,GBP,FundPrice
185.7186,2024-07-09,GBP,FundPrice
185.8216,2024-07-08,GBP,FundPrice
185.9333,2024-07-05,GBP,FundPrice
185.6484,2024-07-04,GBP,FundPrice
185.2642,2024-07-03,GBP,FundPrice
184.7416,2024-07-02,GBP,FundPrice
184.5958,2024-07-01,GBP,FundPrice
184.7956,2024-06-28,GBP,FundPrice
185.2254,2024-06-27,GBP,FundPrice
185.4403,2024-06-26,GBP,FundPrice
185.3662,2024-06-25,GBP,FundPrice
185.1988,2024-06-24,GBP,FundPrice
185.3215,2024-06-21,GBP,FundPrice
185.4679,2024-06-20,GBP,FundPrice
185.0425,2024-06-19,GBP,FundPrice
185.1952,2024-06-18,GBP,FundPrice
184.4907,2024-06-17,GBP,FundPrice
184.5053,2024-06-14,GBP,FundPrice
183.8483,2024-06-13,GBP,FundPrice
183.644,2024-06-12,GBP,FundPrice
183.0247,2024-06-11,GBP,FundPrice
183.0372,2024-06-10,GBP,FundPrice
183.269,2024-06-07,GBP,FundPrice
183.8052,2024-06-06,GBP,FundPrice
183.5371,2024-06-05,GBP,FundPrice
182.3889,2024-06-04,GBP,FundPrice
182.5523,2024-06-03,GBP,FundPrice
182.0117,2024-05-31,GBP,FundPrice
181.2474,2024-05-30,GBP,FundPrice
181.3335,2024-05-29,GBP,FundPrice
182.3472,2024-05-28,GBP,FundPrice
182.8631,2024-05-24,GBP,FundPrice
