price,asOfDate,currencyCode,__typename
37.1092,2024-10-11,USD,FundPrice
37.3183,2024-10-10,USD,FundPrice
37.1161,2024-10-09,USD,FundPrice
37.2098,2024-10-08,USD,FundPrice
37.7861,2024-10-07,USD,FundPrice
37.0831,2024-10-04,USD,FundPrice
37.388,2024-10-03,USD,FundPrice
37.0706,2024-10-02,USD,FundPrice
38.303,2024-10-01,USD,FundPrice
37.7992,2024-09-30,USD,FundPrice
39.2762,2024-09-27,USD,FundPrice
38.1073,2024-09-26,USD,FundPrice
37.2333,2024-09-25,USD,FundPrice
37.4991,2024-09-24,USD,FundPrice
37.2771,2024-09-23,USD,FundPrice
37.0995,2024-09-20,USD,FundPrice
37.1186,2024-09-19,USD,FundPrice
36.5933,2024-09-18,USD,FundPrice
36.5448,2024-09-17,USD,FundPrice
37.1357,2024-09-16,USD,FundPrice
37.0794,2024-09-13,USD,FundPrice
36.8988,2024-09-12,USD,FundPrice
36.3157,2024-09-11,USD,FundPrice
36.6353,2024-09-10,USD,FundPrice
36.6807,2024-09-09,USD,FundPrice
37.0491,2024-09-06,USD,FundPrice
36.9613,2024-09-05,USD,FundPrice
37.1327,2024-09-04,USD,FundPrice
38.1584,2024-09-03,USD,FundPrice
37.585,2024-09-02,USD,FundPrice
37.8767,2024-08-30,USD,FundPrice
37.6669,2024-08-29,USD,FundPrice
37.8773,2024-08-28,USD,FundPrice
37.7567,2024-08-27,USD,FundPrice
37.521,2024-08-26,USD,FundPrice
37.6155,2024-08-23,USD,FundPrice
37.1439,2024-08-22,USD,FundPrice
37.2142,2024-08-21,USD,FundPrice
37.2882,2024-08-20,USD,FundPrice
36.6848,2024-08-19,USD,FundPrice
36.8108,2024-08-16,USD,FundPrice
35.4752,2024-08-15,USD,FundPrice
35.7611,2024-08-14,USD,FundPrice
35.3056,2024-08-13,USD,FundPrice
34.091,2024-08-12,USD,FundPrice
34.3939,2024-08-09,USD,FundPrice
33.978,2024-08-08,USD,FundPrice
34.3281,2024-08-07,USD,FundPrice
