asOfDate,price,currencyCode,__typename
2015-12-17,100.0,GBP,FundPrice
2015-12-18,99.2277,GBP,FundPrice
2015-12-19,99.2277,GBP,FundPrice
2015-12-20,99.2277,GBP,FundPrice
2015-12-21,99.4735,GBP,FundPrice
2015-12-22,100.1915,GBP,FundPrice
2015-12-23,101.1195,GBP,FundPrice
2015-12-24,100.9951,GBP,FundPrice
2015-12-25,100.9951,GBP,FundPrice
2015-12-26,100.9951,GBP,FundPrice
2015-12-27,100.9951,GBP,FundPrice
2015-12-28,100.9951,GBP,FundPrice
2015-12-29,102.1796,GBP,FundPrice
2015-12-30,101.5427,GBP,FundPrice
2015-12-31,101.3571,GBP,FundPrice
2016-01-01,101.3571,GBP,FundPrice
2016-01-02,101.3571,GBP,FundPrice
2016-01-03,101.3571,GBP,FundPrice
2016-01-04,99.8833,GBP,FundPrice
2016-01-05,100.1795,GBP,FundPrice
2016-01-06,99.5409,GBP,FundPrice
2016-01-07,98.0786,GBP,FundPrice
2016-01-08,97.5744,GBP,FundPrice
2016-01-09,97.5744,GBP,FundPrice
2016-01-10,97.5744,GBP,FundPrice
2016-01-11,97.1644,GBP,FundPrice
2016-01-12,98.0888,GBP,FundPrice
2016-01-13,97.4655,GBP,FundPrice
2016-01-14,97.4323,GBP,FundPrice
2016-01-15,96.5404,GBP,FundPrice
2016-01-16,96.5404,GBP,FundPrice
2016-01-17,96.5404,GBP,FundPrice
2016-01-18,96.2804,GBP,FundPrice
2016-01-19,97.3634,GBP,FundPrice
2016-01-20,95.4163,GBP,FundPrice
2016-01-21,96.0407,GBP,FundPrice
2016-01-22,97.0839,GBP,FundPrice
2016-01-23,97.0839,GBP,FundPrice
2016-01-24,97.0839,GBP,FundPrice
2016-01-25,96.9222,GBP,FundPrice
2016-01-26,97.1466,GBP,FundPrice
2016-01-27,97.6158,GBP,FundPrice
2016-01-28,96.9219,GBP,FundPrice
2016-01-29,99.4823,GBP,FundPrice
2016-01-30,99.4823,GBP,FundPrice
2016-01-31,99.4823,GBP,FundPrice
2016-02-01,98.8101,GBP,FundPrice
2016-02-02,97.4581,GBP,FundPrice
2016-02-03,96.2248,GBP,FundPrice
2016-02-04,96.8674,GBP,FundPrice
2016-02-05,96.245,GBP,FundPrice
2016-02-06,96.245,GBP,FundPrice
2016-02-07,96.245,GBP,FundPrice
2016-02-08,95.3948,GBP,FundPrice
2016-02-09,94.3791,GBP,FundPrice
2016-02-10,94.5694,GBP,FundPrice
2016-02-11,93.5906,GBP,FundPrice
2016-02-12,94.3825,GBP,FundPrice
2016-02-13,94.3825,GBP,FundPrice
2016-02-14,94.3825,GBP,FundPrice
2016-02-15,95.5927,GBP,FundPrice
2016-02-16,96.7837,GBP,FundPrice
2016-02-17,98.0684,GBP,FundPrice
2016-02-18,97.9742,GBP,FundPrice
2016-02-19,98.0948,GBP,FundPrice
2016-02-20,98.0948,GBP,FundPrice
2016-02-21,98.0948,GBP,FundPrice
2016-02-22,99.7569,GBP,FundPrice
2016-02-23,99.0661,GBP,FundPrice
2016-02-24,99.2562,GBP,FundPrice
2016-02-25,100.3664,GBP,FundPrice
2016-02-26,101.0696,GBP,FundPrice
2016-02-27,101.0696,GBP,FundPrice
2016-02-28,101.0696,GBP,FundPrice
2016-02-29,100.5731,GBP,FundPrice
2016-03-01,101.7788,GBP,FundPrice
2016-03-02,101.7622,GBP,FundPrice
2016-03-03,101.8291,GBP,FundPrice
2016-03-04,102.2213,GBP,FundPrice
2016-03-05,102.2213,GBP,FundPrice
2016-03-06,102.2213,GBP,FundPrice
2016-03-07,102.2117,GBP,FundPrice
2016-03-08,101.6266,GBP,FundPrice
2016-03-09,101.6461,GBP,FundPrice
2016-03-10,100.9229,GBP,FundPrice
2016-03-11,101.943,GBP,FundPrice
2016-03-12,101.943,GBP,FundPrice
2016-03-13,101.943,GBP,FundPrice
2016-03-14,102.492,GBP,FundPrice
2016-03-15,102.726,GBP,FundPrice
2016-03-16,103.2486,GBP,FundPrice
2016-03-17,102.5787,GBP,FundPrice
2016-03-18,102.6873,GBP,FundPrice
2016-03-19,102.6873,GBP,FundPrice
2016-03-20,102.6873,GBP,FundPrice
2016-03-21,103.0874,GBP,FundPrice
2016-03-22,104.0548,GBP,FundPrice
2016-03-23,104.028,GBP,FundPrice
2016-03-24,103.2248,GBP,FundPrice
2016-03-25,103.2248,GBP,FundPrice
2016-03-26,103.2248,GBP,FundPrice
2016-03-27,103.2248,GBP,FundPrice
2016-03-28,103.2248,GBP,FundPrice
2016-03-29,103.3387,GBP,FundPrice
2016-03-30,103.4433,GBP,FundPrice
2016-03-31,103.6153,GBP,FundPrice
2016-04-01,104.0014,GBP,FundPrice
2016-04-02,104.0014,GBP,FundPrice
2016-04-03,104.0014,GBP,FundPrice
2016-04-04,103.639,GBP,FundPrice
2016-04-05,103.3199,GBP,FundPrice
