price,asOfDate,currencyCode,__typename
110.2411,2024-10-11,USD,FundPrice
109.5777,2024-10-10,USD,FundPrice
109.7908,2024-10-09,USD,FundPrice
109.0129,2024-10-08,USD,FundPrice
107.9666,2024-10-07,USD,FundPrice
109.011,2024-10-04,USD,FundPrice
108.0229,2024-10-03,USD,FundPrice
108.2049,2024-10-02,USD,FundPrice
108.1847,2024-10-01,USD,FundPrice
109.1986,2024-09-30,USD,FundPrice
108.7306,2024-09-27,USD,FundPrice
108.8647,2024-09-26,USD,FundPrice
108.4208,2024-09-25,USD,FundPrice
108.6226,2024-09-24,USD,FundPrice
108.3502,2024-09-23,USD,FundPrice
108.0468,2024-09-20,USD,FundPrice
108.2568,2024-09-19,USD,FundPrice
106.4449,2024-09-18,USD,FundPrice
106.753,2024-09-17,USD,FundPrice
106.723,2024-09-16,USD,FundPrice
106.5713,2024-09-13,USD,FundPrice
105.9834,2024-09-12,USD,FundPrice
105.476,2024-09-11,USD,FundPrice
104.3624,2024-09-10,USD,FundPrice
103.8956,2024-09-09,USD,FundPrice
102.6979,2024-09-06,USD,FundPrice
104.4904,2024-09-05,USD,FundPrice
104.8037,2024-09-04,USD,FundPrice
104.9684,2024-09-03,USD,FundPrice
107.2274,2024-09-02,USD,FundPrice
107.2269,2024-08-30,USD,FundPrice
106.1437,2024-08-29,USD,FundPrice
106.1434,2024-08-28,USD,FundPrice
106.7814,2024-08-27,USD,FundPrice
106.6044,2024-08-26,USD,FundPrice
106.9399,2024-08-23,USD,FundPrice
105.7254,2024-08-22,USD,FundPrice
106.6766,2024-08-21,USD,FundPrice
106.2227,2024-08-20,USD,FundPrice
106.4313,2024-08-19,USD,FundPrice
105.3978,2024-08-16,USD,FundPrice
105.1762,2024-08-15,USD,FundPrice
103.4813,2024-08-14,USD,FundPrice
103.0846,2024-08-13,USD,FundPrice
101.3717,2024-08-12,USD,FundPrice
101.3564,2024-08-09,USD,FundPrice
100.8751,2024-08-08,USD,FundPrice
98.6025,2024-08-07,USD,FundPrice
99.3683,2024-08-06,USD,FundPrice
98.3495,2024-08-05,USD,FundPrice
101.3847,2024-08-02,USD,FundPrice
103.2827,2024-08-01,USD,FundPrice
104.7122,2024-07-31,USD,FundPrice
103.0777,2024-07-30,USD,FundPrice
103.5949,2024-07-29,USD,FundPrice
103.5102,2024-07-26,USD,FundPrice
102.3697,2024-07-25,USD,FundPrice
102.8982,2024-07-24,USD,FundPrice
105.3356,2024-07-23,USD,FundPrice
105.5002,2024-07-22,USD,FundPrice
104.3708,2024-07-19,USD,FundPrice
105.1161,2024-07-18,USD,FundPrice
105.944,2024-07-17,USD,FundPrice
107.4395,2024-07-16,USD,FundPrice
106.7577,2024-07-15,USD,FundPrice
106.4483,2024-07-12,USD,FundPrice
105.8645,2024-07-11,USD,FundPrice
106.7967,2024-07-10,USD,FundPrice
105.7066,2024-07-09,USD,FundPrice
105.6267,2024-07-08,USD,FundPrice
105.5173,2024-07-05,USD,FundPrice
104.9317,2024-07-04,USD,FundPrice
104.9318,2024-07-03,USD,FundPrice
104.3991,2024-07-02,USD,FundPrice
103.7561,2024-07-01,USD,FundPrice
103.4754,2024-06-28,USD,FundPrice
103.8889,2024-06-27,USD,FundPrice
103.7942,2024-06-26,USD,FundPrice
103.6314,2024-06-25,USD,FundPrice
103.2259,2024-06-24,USD,FundPrice
103.538,2024-06-21,USD,FundPrice
103.6952,2024-06-20,USD,FundPrice
103.9574,2024-06-19,USD,FundPrice
103.9576,2024-06-18,USD,FundPrice
103.6935,2024-06-17,USD,FundPrice
102.8947,2024-06-14,USD,FundPrice
102.9139,2024-06-13,USD,FundPrice
102.9311,2024-06-12,USD,FundPrice
102.0616,2024-06-11,USD,FundPrice
101.7854,2024-06-10,USD,FundPrice
101.5166,2024-06-07,USD,FundPrice
101.6136,2024-06-06,USD,FundPrice
101.6331,2024-06-05,USD,FundPrice
100.4428,2024-06-04,USD,FundPrice
100.2875,2024-06-03,USD,FundPrice
100.165,2024-05-31,USD,FundPrice
99.3598,2024-05-30,USD,FundPrice
99.9484,2024-05-29,USD,FundPrice
100.6896,2024-05-28,USD,FundPrice
100.6644,2024-05-27,USD,FundPrice
100.6649,2024-05-24,USD,FundPrice
99.9632,2024-05-23,USD,FundPrice
100.7037,2024-05-22,USD,FundPrice
100.9763,2024-05-21,USD,FundPrice
100.7223,2024-05-20,USD,FundPrice
100.6234,2024-05-17,USD,FundPrice
100.5029,2024-05-16,USD,FundPrice
100.6953,2024-05-15,USD,FundPrice
99.5136,2024-05-14,USD,FundPrice
99.0223,2024-05-13,USD,FundPrice
99.0455,2024-05-10,USD,FundPrice
98.8696,2024-05-09,USD,FundPrice
98.3529,2024-05-08,USD,FundPrice
98.3536,2024-05-07,USD,FundPrice
98.2175,2024-05-06,USD,FundPrice
97.212,2024-05-03,USD,FundPrice
96.0026,2024-05-02,USD,FundPrice
95.1332,2024-05-01,USD,FundPrice
95.4597,2024-04-30,USD,FundPrice
96.9823,2024-04-29,USD,FundPrice
96.6715,2024-04-26,USD,FundPrice
95.6936,2024-04-25,USD,FundPrice
96.1322,2024-04-24,USD,FundPrice
96.1115,2024-04-23,USD,FundPrice
94.9738,2024-04-22,USD,FundPrice
94.1523,2024-04-19,USD,FundPrice
94.9806,2024-04-18,USD,FundPrice
95.186,2024-04-17,USD,FundPrice
95.7399,2024-04-16,USD,FundPrice
95.9373,2024-04-15,USD,FundPrice
97.104,2024-04-12,USD,FundPrice
98.5281,2024-04-11,USD,FundPrice
97.7985,2024-04-10,USD,FundPrice
98.7307,2024-04-09,USD,FundPrice
98.5764,2024-04-08,USD,FundPrice
98.6123,2024-04-05,USD,FundPrice
97.5298,2024-04-04,USD,FundPrice
98.7376,2024-04-03,USD,FundPrice
98.6263,2024-04-02,USD,FundPrice
99.343,2024-04-01,USD,FundPrice
99.5422,2024-03-28,USD,FundPrice
99.4293,2024-03-27,USD,FundPrice
98.5689,2024-03-26,USD,FundPrice
98.8456,2024-03-25,USD,FundPrice
99.149,2024-03-22,USD,FundPrice
99.2843,2024-03-21,USD,FundPrice
98.9615,2024-03-20,USD,FundPrice
98.0766,2024-03-19,USD,FundPrice
97.526,2024-03-18,USD,FundPrice
96.9134,2024-03-15,USD,FundPrice
97.5436,2024-03-14,USD,FundPrice
98.1072,2024-03-13,USD,FundPrice
98.2926,2024-03-12,USD,FundPrice
97.2015,2024-03-11,USD,FundPrice
97.3112,2024-03-08,USD,FundPrice
97.9447,2024-03-07,USD,FundPrice
96.935,2024-03-06,USD,FundPrice
96.4333,2024-03-05,USD,FundPrice
97.4247,2024-03-04,USD,FundPrice
97.5388,2024-03-01,USD,FundPrice
96.7571,2024-02-29,USD,FundPrice
96.2374,2024-02-28,USD,FundPrice
96.3898,2024-02-27,USD,FundPrice
96.2229,2024-02-26,USD,FundPrice
96.5863,2024-02-23,USD,FundPrice
96.551,2024-02-22,USD,FundPrice
94.5501,2024-02-21,USD,FundPrice
94.4275,2024-02-20,USD,FundPrice
94.9951,2024-02-19,USD,FundPrice
94.9956,2024-02-16,USD,FundPrice
95.4418,2024-02-15,USD,FundPrice
94.8714,2024-02-14,USD,FundPrice
93.9565,2024-02-13,USD,FundPrice
95.2498,2024-02-12,USD,FundPrice
95.3396,2024-02-09,USD,FundPrice
94.788,2024-02-08,USD,FundPrice
94.7241,2024-02-07,USD,FundPrice
93.9489,2024-02-06,USD,FundPrice
93.73,2024-02-05,USD,FundPrice
94.0293,2024-02-02,USD,FundPrice
93.0321,2024-02-01,USD,FundPrice
91.8796,2024-01-31,USD,FundPrice
93.3814,2024-01-30,USD,FundPrice
93.4314,2024-01-29,USD,FundPrice
92.7297,2024-01-26,USD,FundPrice
92.7904,2024-01-25,USD,FundPrice
92.3007,2024-01-24,USD,FundPrice
92.2252,2024-01-23,USD,FundPrice
91.955,2024-01-22,USD,FundPrice
91.7543,2024-01-19,USD,FundPrice
90.634,2024-01-18,USD,FundPrice
89.837,2024-01-17,USD,FundPrice
90.3428,2024-01-16,USD,FundPrice
90.6802,2024-01-15,USD,FundPrice
90.6807,2024-01-12,USD,FundPrice
90.6064,2024-01-11,USD,FundPrice
90.6647,2024-01-10,USD,FundPrice
90.1528,2024-01-09,USD,FundPrice
90.2756,2024-01-08,USD,FundPrice
89.0184,2024-01-05,USD,FundPrice
88.8505,2024-01-04,USD,FundPrice
89.1522,2024-01-03,USD,FundPrice
89.8697,2024-01-02,USD,FundPrice
90.3789,2023-12-29,USD,FundPrice
90.6314,2023-12-28,USD,FundPrice
90.5896,2023-12-27,USD,FundPrice
90.4563,2023-12-26,USD,FundPrice
90.0755,2023-12-22,USD,FundPrice
89.9262,2023-12-21,USD,FundPrice
89.0094,2023-12-20,USD,FundPrice
90.3263,2023-12-19,USD,FundPrice
89.7933,2023-12-18,USD,FundPrice
89.3882,2023-12-15,USD,FundPrice
89.3912,2023-12-14,USD,FundPrice
89.4159,2023-12-13,USD,FundPrice
88.2108,2023-12-12,USD,FundPrice
87.8044,2023-12-11,USD,FundPrice
87.4612,2023-12-08,USD,FundPrice
87.1028,2023-12-07,USD,FundPrice
86.4028,2023-12-06,USD,FundPrice
86.7396,2023-12-05,USD,FundPrice
86.7861,2023-12-04,USD,FundPrice
87.2583,2023-12-01,USD,FundPrice
86.7417,2023-11-30,USD,FundPrice
86.3927,2023-11-29,USD,FundPrice
86.4619,2023-11-28,USD,FundPrice
86.3772,2023-11-27,USD,FundPrice
86.5454,2023-11-24,USD,FundPrice
86.4923,2023-11-23,USD,FundPrice
86.4925,2023-11-22,USD,FundPrice
86.1393,2023-11-21,USD,FundPrice
86.3121,2023-11-20,USD,FundPrice
85.6719,2023-11-17,USD,FundPrice
85.5616,2023-11-16,USD,FundPrice
85.4427,2023-11-15,USD,FundPrice
85.2933,2023-11-14,USD,FundPrice
83.6823,2023-11-13,USD,FundPrice
83.7485,2023-11-10,USD,FundPrice
82.4503,2023-11-09,USD,FundPrice
83.1088,2023-11-08,USD,FundPrice
83.0221,2023-11-07,USD,FundPrice
82.7859,2023-11-06,USD,FundPrice
82.6392,2023-11-03,USD,FundPrice
81.867,2023-11-02,USD,FundPrice
80.3475,2023-11-01,USD,FundPrice
79.5114,2023-10-31,USD,FundPrice
78.9955,2023-10-30,USD,FundPrice
78.0526,2023-10-27,USD,FundPrice
78.4279,2023-10-26,USD,FundPrice
79.3659,2023-10-25,USD,FundPrice
80.5203,2023-10-24,USD,FundPrice
79.9383,2023-10-23,USD,FundPrice
80.0736,2023-10-20,USD,FundPrice
81.0921,2023-10-19,USD,FundPrice
81.7802,2023-10-18,USD,FundPrice
82.891,2023-10-17,USD,FundPrice
82.8994,2023-10-16,USD,FundPrice
82.0288,2023-10-13,USD,FundPrice
82.4416,2023-10-12,USD,FundPrice
82.9527,2023-10-11,USD,FundPrice
82.5947,2023-10-10,USD,FundPrice
82.1655,2023-10-09,USD,FundPrice
81.6514,2023-10-06,USD,FundPrice
80.687,2023-10-05,USD,FundPrice
80.7802,2023-10-04,USD,FundPrice
80.1304,2023-10-03,USD,FundPrice
81.2417,2023-10-02,USD,FundPrice
81.2338,2023-09-29,USD,FundPrice
