asOfDate,price,currencyCode,__typename
2019-02-19,25.0,EUR,FundPrice
2019-02-20,24.9891,EUR,FundPrice
2019-02-21,24.9638,EUR,FundPrice
2019-02-22,24.994,EUR,FundPrice
2019-02-23,24.994,EUR,FundPrice
2019-02-24,24.994,EUR,FundPrice
2019-02-25,25.0202,EUR,FundPrice
2019-02-26,25.0328,EUR,FundPrice
2019-02-27,24.957,EUR,FundPrice
2019-02-28,24.9466,EUR,FundPrice
2019-03-01,24.9317,EUR,FundPrice
2019-03-02,24.9317,EUR,FundPrice
2019-03-03,24.9317,EUR,FundPrice
2019-03-04,24.9676,EUR,FundPrice
2019-03-05,24.9826,EUR,FundPrice
2019-03-06,25.0629,EUR,FundPrice
2019-03-07,25.1801,EUR,FundPrice
2019-03-08,25.1939,EUR,FundPrice
2019-03-09,25.1939,EUR,FundPrice
2019-03-10,25.1939,EUR,FundPrice
2019-03-11,25.1752,EUR,FundPrice
2019-03-12,25.1675,EUR,FundPrice
2019-03-13,25.1508,EUR,FundPrice
2019-03-14,25.1686,EUR,FundPrice
2019-03-15,25.1761,EUR,FundPrice
2019-03-16,25.1761,EUR,FundPrice
2019-03-17,25.1761,EUR,FundPrice
2019-03-18,25.2291,EUR,FundPrice
2019-03-19,25.1908,EUR,FundPrice
2019-03-20,25.1948,EUR,FundPrice
2019-03-21,25.2929,EUR,FundPrice
2019-03-22,25.382,EUR,FundPrice
2019-03-23,25.382,EUR,FundPrice
2019-03-24,25.382,EUR,FundPrice
2019-03-25,25.3576,EUR,FundPrice
2019-03-26,25.3668,EUR,FundPrice
2019-03-27,25.4622,EUR,FundPrice
2019-03-28,25.4182,EUR,FundPrice
2019-03-29,25.4002,EUR,FundPrice
2019-03-30,25.4002,EUR,FundPrice
2019-03-31,25.4002,EUR,FundPrice
2019-04-01,25.3201,EUR,FundPrice
2019-04-02,25.3528,EUR,FundPrice
2019-04-03,25.2863,EUR,FundPrice
2019-04-04,25.3296,EUR,FundPrice
2019-04-05,25.346,EUR,FundPrice
2019-04-06,25.346,EUR,FundPrice
2019-04-07,25.346,EUR,FundPrice
2019-04-08,25.3518,EUR,FundPrice
2019-04-09,25.382,EUR,FundPrice
2019-04-10,25.4284,EUR,FundPrice
2019-04-11,25.4314,EUR,FundPrice
2019-04-12,25.3385,EUR,FundPrice
2019-04-13,25.3385,EUR,FundPrice
2019-04-14,25.3385,EUR,FundPrice
2019-04-15,25.3047,EUR,FundPrice
2019-04-16,25.286,EUR,FundPrice
2019-04-17,25.2524,EUR,FundPrice
2019-04-18,25.3399,EUR,FundPrice
2019-04-19,25.3399,EUR,FundPrice
2019-04-20,25.3399,EUR,FundPrice
2019-04-21,25.3399,EUR,FundPrice
2019-04-22,25.3436,EUR,FundPrice
2019-04-23,25.2753,EUR,FundPrice
2019-04-24,25.3674,EUR,FundPrice
2019-04-25,25.3232,EUR,FundPrice
2019-04-26,25.3891,EUR,FundPrice
2019-04-27,25.3891,EUR,FundPrice
2019-04-28,25.3891,EUR,FundPrice
2019-04-29,25.3841,EUR,FundPrice
2019-04-30,25.396,EUR,FundPrice
2019-05-01,25.3963,EUR,FundPrice
2019-05-02,25.3962,EUR,FundPrice
2019-05-03,25.4052,EUR,FundPrice
