asOfDate,price,currencyCode,__typename
2019-06-18,25.0,GBP,FundPrice
2019-06-19,25.0282,GBP,FundPrice
2019-06-20,25.0905,GBP,FundPrice
2019-06-21,25.0377,GBP,FundPrice
2019-06-22,25.0377,GBP,FundPrice
2019-06-23,25.0377,GBP,FundPrice
2019-06-24,25.0824,GBP,FundPrice
2019-06-25,25.0881,GBP,FundPrice
2019-06-26,25.0398,GBP,FundPrice
2019-06-27,25.0616,GBP,FundPrice
2019-06-28,25.0788,GBP,FundPrice
2019-06-29,25.0788,GBP,FundPrice
2019-06-30,25.0788,GBP,FundPrice
2019-07-01,25.1032,GBP,FundPrice
2019-07-02,25.1469,GBP,FundPrice
2019-07-03,25.2169,GBP,FundPrice
2019-07-04,25.2284,GBP,FundPrice
2019-07-05,25.1415,GBP,FundPrice
2019-07-06,25.1415,GBP,FundPrice
2019-07-07,25.1415,GBP,FundPrice
2019-07-08,25.1374,GBP,FundPrice
2019-07-09,25.1167,GBP,FundPrice
2019-07-10,25.0991,GBP,FundPrice
2019-07-11,25.0332,GBP,FundPrice
2019-07-12,25.0152,GBP,FundPrice
2019-07-13,25.0152,GBP,FundPrice
2019-07-14,25.0152,GBP,FundPrice
2019-07-15,25.0654,GBP,FundPrice
2019-07-16,25.0589,GBP,FundPrice
2019-07-17,25.124,GBP,FundPrice
2019-07-18,25.1553,GBP,FundPrice
2019-07-19,25.1495,GBP,FundPrice
2019-07-20,25.1495,GBP,FundPrice
2019-07-21,25.1495,GBP,FundPrice
2019-07-22,25.1667,GBP,FundPrice
2019-07-23,25.1676,GBP,FundPrice
2019-07-24,25.206,GBP,FundPrice
2019-07-25,25.1546,GBP,FundPrice
2019-07-26,25.1647,GBP,FundPrice
2019-07-27,25.1647,GBP,FundPrice
2019-07-28,25.1647,GBP,FundPrice
2019-07-29,25.1825,GBP,FundPrice
2019-07-30,25.1866,GBP,FundPrice
2019-07-31,25.2288,GBP,FundPrice
2019-08-01,25.3266,GBP,FundPrice
2019-08-02,25.376,GBP,FundPrice
2019-08-03,25.376,GBP,FundPrice
2019-08-04,25.376,GBP,FundPrice
2019-08-05,25.4653,GBP,FundPrice
2019-08-06,25.4867,GBP,FundPrice
